id,Question,Answer,inkludera_i_pdf
1,"Vilken italiensk maträtt består traditionellt av pasta, ägg, ost, svartpeppar och pancetta?",Carbonara,ja
2,Vilket mexikanskt matinslag består av majstortilla fylld med kött eller grönsaker och ofta serveras med salsa?,Taco,ja
3,Vad kallas det japanska riset täckt med rå fisk eller skaldjur?,Sushi,ja
4,"Vilken svensk maträtt består av potatis, köttbullar och lingonsylt?",Köttbullar,ja
5,"Vad heter den indiska grytan som vanligtvis innehåller kyckling, tomater och rikligt med kryddor, däribland garam masala?",Butter chicken,ja
6,"Vilket franskt bakverk innehåller lager av smördeg och är ofta fyllt med choklad, vaniljkräm eller nötter?",Croissant,ja
7,"Vilken thailändsk nudelrätt innehåller ofta risnudlar, kyckling, räkor, ägg och tamarindpasta?",Pad thai,ja
8,"Vad kallas den italienska maträtten som görs av tunt bröd, tomatsås, ost och andra tillbehör?",Pizza,ja
9,"Vilken traditionell japansk soppa är baserad på sojabönor och oftast innehåller tofu, sjögräs och ibland fisk eller skaldjur?",Miso,ja
10,"Vilken ungersk gryta innehåller paprika, kött (vanligtvis nötkött) och potatis?",Gulasch,ja
11,"Vad kallas den koreanska maträtten bestående av fermenterade grönsaker, vanligtvis kål och rädisor?",Kimchi,ja
12,Vilken amerikansk snabbmat består av ett okokat nötköttsstycke som grillas och serveras i ett bröd med diverse tillbehör?,Hamburgare,ja
13,Vilket ryggstycke av lamm marineras oftast och grillas i indisk matlagning?,Lammkebab,ja
14,"Vilken italiensk risrätt vanligtvis tillreds med buljong, vin och parmesanost och ibland saffran?",Risotto,ja
15,"Vad heter den spanska rätten baserad på ris, saffran och andra ingredienser som fisk, skaldjur, kyckling och grönsaker?",Paella,ja
16,Vilken iransk risrätt innehåller ofta safran och serveras med olika sorters kött och grönsaker?,Biryani,ja
17,"Vilket spanskt bakverk, som ofta serveras med choklad, är en friterad genombruten degklump?",Churros,ja
18,Vad kallas den tunisisk maträtten som består av semolina och serveras med grönsaker och kött eller fisk?,Couscous,ja
19,"Vilket koreanskt risrätt blandas med grönsaker, kött och en rå äggula på toppen?",Bibimbap,ja
20,Vilken mexikansk maträtt som är stekt tortillarullar fyllda med kyckling eller annat kött och ofta serveras med salsa och gräddfil?,Enchilada,ja
21,"Vilken typisk österrikisk desserträtt består av tunt strudeldeg fyllt med äpple, socker, kanel och russin?",Apfelstrudel,ja
22,"Vilken traditionell japansk rätt består av panerade, friterade grönsaker och skaldjur?",Tempura,ja
23,"Vad heter den sicilianska efterrätten gjort på ricottaost och socker, ofta garnerad med choklad eller frukt?",Cannoli,ja
24,"Vilken fransk maträtt består av långsamt kokt nötkött, vanligtvis serverad i en rödvinssås?",Boeuf bourguignon,ja
25,"Vilken filippinsk gryta tillagas i sojasås och vinäger, ofta med kyckling eller fläsk?",Adobo,ja
26,"Vilken brasiliansk rätt är en gryta gjort på svarta bönor och kött, vanligtvis fläsk och korv?",Feijoada,ja
27,"Vad kallas den vietnamesiska risnudelsoppa som ofta innehåller nötkött eller kyckling, samt örter och lime?",Pho,ja
28,Vilken rysk färsrätt består av nötkött och serveras med äggnudlar och en gräddsås?,Biff Stroganoff,ja
29,"Vilken grekisk maträtt är en gratäng med lager av aubergine och köttfärs, toppad med bechamelsås?",Moussaka,ja
30,Vad heter den sydafrikanska rätten med en fyllning av köttfärs och mjölk- och äggstanning som gratineras?,Bobotie,ja
31,Vilken peruansk rätt består ofta av rå fisk marinerad i limejuice och kryddad med chili?,Ceviche,ja
32,"Vilken spansk frukosträtt görs av vispad äggvita och sockermättade äggulor, ofta friterad och serverad med sirap?",Leche Frita,ja
33,Vad kallas den italienska efterrätten som består av kaffeindränkt kaka och lager av mascarponekräm?,Tiramisu,ja
34,"Vilken indisk maträtt är grillad i en tandoorugn och oftast innehåller kyckling, som ofta är marinerad i yoghurt och kryddor?",Tandoorikyckling,ja
