id,Question,Answer,inkludera_i_pdf
1,Vem var Sveriges första kung?,Erik Segersäll,ja
2,Vilket år skedde Stockholms blodbad?,1520,ja
3,Vem var Gustav Vasas far?,Erik Johansson,ja
4,Vilken stad grundades av Gustav II Adolf 1621?,Göteborg,ja
5,När inleddes stormaktstiden i Sverige?,1611,ja
6,Vad kallas slaget där Karl XII stupade?,Slaget vid Fredriksten,ja
7,När avskaffades dödsstraffet i Sverige?,1921,ja
8,Vem var Sveriges första kvinnliga minister?,Kerstin Hesselgren,ja
9,Vilket år fick kvinnor rösträtt i Sverige?,1921,ja
10,Vad hette Sveriges statsminister under andra världskriget?,Per Albin Hansson,ja
11,När antogs Sveriges första tryckfrihetsförordning?,1766,ja
12,Vilket år inträffade stormen Gudrun?,2005,ja
13,"Vem skrev nationalsången 'Du gamla, du fria'?",Richard Dybeck,ja
14,Vilket år grundades Sveriges riksbank?,1668,ja
15,Vilken sport vann Sverige VM-guld i 1958?,Fotboll,ja
16,Vem efterträdde Gustav II Adolf som kung?,Kristina,ja
17,Vilket land ockuperade Skåne innan det blev svenskt?,Danmark,ja
18,Under vilket århundrade pågick digerdöden i Sverige?,1300-talet,ja
19,Vilket år inträffade slaget vid Lützen?,1632,ja
20,Vilket hus regerade Sverige före Bernadotteätten?,Holstein-Gottorp,ja
21,"Vad kallas unionen mellan Sverige, Norge och Danmark som bildades 1397?",Kalmarunionen,ja
22,Vilken svensk kung inledde korstågen mot Finland?,Erik den helige,ja
23,Vilket årtionde avskaffades statskyrkan i Sverige?,2000-talet,ja
24,Vad hette den svenska statsministern som mördades 1986?,Olof Palme,ja
25,Vilken svensk författare vann Nobelpriset i litteratur 1974?,Eyvind Johnson,ja
26,Vad hette Sveriges ledare under Vikingatiden?,Hövdingar,ja
27,Vilket år fick Sverige en ny regeringsform som fortfarande gäller idag?,1974,ja
28,Vilket slag räknas som det sista mellan Danmark och Sverige?,Slaget vid Dybbøl,ja
29,När förlorade Sverige Finland till Ryssland?,1809,ja
30,I vilken stad inträffade Ådalshändelserna?,Kramfors,ja
31,Vilken svensk kung kallas ibland 'folkungen'?,Birger Jarl,ja
32,När blev kungahuset Bernadotte Sveriges kungahus?,1818,ja
33,Vem var Sveriges regent under trettioåriga kriget?,Gustav II Adolf,ja
34,Vilket år invigdes Öresundsbron?,2000,ja
