id,Question,Answer,inkludera_i_pdf
1,Hvad betyder 'syltetøj' på svenska?,Sylt,ja
2,Hur översätter man 'trapper' till svenska?,Trappor,ja
3,Vad är den svenska motsvarigheten till 'fjernsyn'?,TV,ja
4,"Om någon säger 'morgenmad' på danska, vad menar de på svenska?",Frukost,ja
5,Hur säger man 'sommersko' på svenska?,Sommarskor,ja
6,Hvad betyder 'mad' på danska?,Mat,ja
7,Vilket djur är en 'fugl' på svenska?,Fågel,ja
8,Vad är 'hest' för ett djur på svenska?,Häst,ja
9,Vilken svensk månad motsvarar 'september' på danska?,September,ja
10,Vad är 'sko' på svenska?,Sko,ja
11,Vad betyder det danska ordet 'fjernsyn' på svenska?,TV,ja
12,Hur översätts 'kontor' från danska till svenska?,Kontor,ja
13,Vad betyder 'frikadelle' på svenska?,Köttbulle,ja
14,Vad är den svenska motsvarigheten till det danska ordet 'morgenmad'?,Frukost,ja
15,Översätt 'ven' från danska till svenska.,Vän,ja
16,Hvad betyder 'frokost' på dansk?,Lunch,ja
17,Översätt 'smør' från danska till svenska.,Smör,ja
18,Vad är 'syltetøj' på svenska?,Sylt,ja
19,"Om en dansk säger 'morgenmad', vad menar de då?",Frukost,ja
20,Hur säger man 'kväll' på danska?,Aften,ja
21,Vad betyder 'kærlighed' på svenska?,Kärlek,ja
22,Hur översätts 'rødgrød med fløde' till svenska?,Röd gröt med grädde,ja
23,Vad är det svenska ordet för 'sommerfugl'?,Fjäril,ja
24,"Om någon säger 'Jeg er sulten', vad betyder det på svenska?",Jag är hungrig,ja
25,Hur säger man 'snabela' på danska?,Snabel-a,ja
26,Hvad betyder 'flødebolle' på svenska?,Gräddboll,ja
27,Vad är den danska motsvarigheten till 'glass'?,Is,ja
28,Hvad siger man 'pædagog' på svenska?,Förskollärare,ja
29,Vad betyder 'rødgrød med fløde' på svenska?,Röd gröt med grädde,ja
30,Hur säger man 'morgon' på danska?,Morgen,ja
31,Vad betyder det danska ordet 'fjernsyn'?,TV,ja
32,Hur översätter man 'sjov' till svenska?,Rolig,ja
33,Vad är den svenska motsvarigheten till 'køkken'?,Kök,ja
34,"Om en dansk säger 'fløde', vad menar de?",Grädde,ja
