id,Question,Answer,inkludera_i_pdf
1,Vad måste vanligtvis förstöras för att döda en zombie permanent?,Hjärnan,nej
2,Vilket virus är ofta anses orsaka zombieapokalyps?,T-viruset,nej
3,Var utspelar sig TV-serien 'The Walking Dead' huvudsakligen?,Georgia,ja
4,Vilken färg är zombies traditionellt framställda med på film?,Grön,ja
5,Vilken regissör skapade filmen 'Night of the Living Dead'?,George A. Romero,ja
6,Vad för slags fordon är vanligt i zombiefilmer för att fly från zombiehorder?,Bil,nej
7,Vilken koreansk film från 2016 handlar om en zombieutbrott på ett tåg?,Train to Busan,ja
8,Vad är ett annat namn för zombies i haitisk voodoo?,Zombie,nej
9,Vilken kroppsvätska kan sprida zombieinfektioner i många filmer?,Saliv,nej
10,Vilket spel handlar om en zombieapokalyps i staden Raccoon City?,Resident Evil,ja
11,Vad är namnet på flygfältet i 'Dawn of the Dead'?,Monroeville,ja
12,Vilken typ av verksamhet använder zombies ofta som arbetskraft i 'Fido' (2006)?,Hushållsarbete,ja
13,Vad är zombiernas främsta sätt att angripa människor?,Bita,ja
14,Vilken brittisk komedifilm parodierar zombiegenren?,Shaun of the Dead,ja
15,Vad för typ av mat föredrar zombies enligt traditionell folklore?,Människokött,nej
16,Hur snabbt rör sig zombies i filmen '28 Days Later'?,Snabbt,ja
17,Vad sprider sig när en zombie biter någon?,Infektion,nej
18,Under vilken period utspelar sig TV-serien 'Fear the Walking Dead' främst?,Tidigt zombieutbrott,nej
19,Vad är skillnaden mellan zombies i 'World War Z' och traditionella zombies?,Hastighet,nej
20,Vilket biologiskt ämne är ansvarig för zombieförändring enligt 'The Last of Us'?,Cordyceps,ja
21,Vad heter huvudfiguren i 'I Am Legend'?,Robert Neville,ja
22,Vilken stad är drabbad i spelet 'Dying Light'?,Harran,ja
23,Vad för slags djur blir en av de första zombierna i 'Resident Evil'?,Hund,ja
24,Vad är huvudkaraktärens yrke i 'Zombieland'?,Överlevare,nej
25,Vad orsakar människor att bli zombies i 'Dead Rising' spelserien?,Zombi-släkte,nej
26,Vilken kroppsdel har zombier sällan kontroll över?,Händer,ja
27,Vilken ingrediens används ofta för att återskapa zombies i filmer?,Virus,nej
28,Vilken kroppsdel attackerar zombies först på deras offer?,Nacken,ja
29,Vad heter den första Resident Evil-filmen?,Resident Evil,nej
30,Vilken förmåga saknar zombies enligt traditionell folklore?,Tal,ja
31,I vilket år släpptes filmen '28 Days Later'?,2002,ja
32,Vad är ett vanligt tema i zombiefilmer?,Överlevnad,nej
33,Vilka symptom uppvisar vanligen en person som blivit biten av en zombie?,Feber,ja
34,Vilken amerikansk delstat är platsen för många zombiefilmer?,Kalifornien,nej
35,Vilket år släpptes TV-serien 'The Walking Dead'?,2010,ja
36,Vad är det bästa verktyget för att slåss mot zombies enligt många filmer?,Basebollträ,ja
37,Vad är den största hotet i en zombieapokalyps?,Zombies,nej
38,Vad heter filmen där ett par gömmer sig från zombier på en pub?,Shaun of the Dead,nej
39,Vad är huvudintrigen i zombiefilmer?,Överlevnad,nej
40,Vilket vapen är ofta effektivt mot zombies?,Hagelgevär,ja
41,Vad kallas en smittsam vålnad som äter levande människor i populärkultur?,Zombie,ja
42,Vem regisserade den klassiska zombie-filmen 'Night of the Living Dead' från 1968?,George A. Romero,ja
43,I vilken TV-serie kämpar överlevare mot zombies kallade 'walkers'?,The Walking Dead,ja
44,Vad heter spelet där spelaren försvarar sitt hus mot zombies med hjälp av växter?,Plants vs. Zombies,ja
45,Vad orsakar ofta zombieapokalypsen i filmer och böcker?,Virus,ja
46,Vad kallas en infekterad person som förlorat sin mänsklighet och blivit ett odödligt väsen?,Zombie,ja
47,I vilken kultur förekommer ofta zombies som varelser skapade av magi och svartkonst?,Haitisk,ja
48,Vilken välkänd filmregissör skapade den ikoniska zombiefilmen 'Night of the Living Dead'?,George A. Romero,ja
49,Vilken del av den mänskliga kroppen brukar zombies oftast vilja äta?,Hjärnan,ja
50,Vad kallas en världsomspännande katastrof orsakad av en zombieepidemi?,Zombieapokalyps,ja
51,I vilken populär TV-serie följer vi karaktären Rick Grimes i en post-apokalyptisk värld full av zombies?,The Walking Dead,ja
52,Vilket virus orsakar en zombieepidemi i spelet 'Resident Evil'?,T-viruset,ja
