id,Question,Answer,inkludera_i_pdf
1,Vad heter den populära TV-serien baserad på en tecknad serie med zombies?,The Walking Dead,ja
2,Vilken stad är centrum för zombieutbrottet i TV-serien 'The Walking Dead'?,Atlanta,ja
3,Namnge spelet där du överlever en zombieapokalyps och spelar som karaktären Jill Valentine.,Resident Evil,ja
4,Hur dödar du säkert en zombie?,Huvudskott,ja
5,Vad kallas viruset i spelet Resident Evil som förvandlar människor till zombies?,T-viruset,ja
6,Vilken film från 1968 anses vara startpunkten för moderna zombiefilmer?,Night of the Living Dead,ja
7,"Vad heter huvudkaraktären i TV-serien The Walking Dead, spelad av Andrew Lincoln?",Rick Grimes,ja
8,Vilken film regisserad av Danny Boyle handlar om ett virus som förvandlar människor till våldsamma 'infekterade'?,28 Days Later,ja
9,I vilken serie zombiespel kämpar du mot horder av infesterade i en värld efter apokalypsen med Ellie och Joel?,The Last of Us,ja
10,Vad är den svenska titeln på filmen 'Shaun of the Dead'?,Shaun of the Dead,ja
11,Hur många dagar har en person på sig att undvika att bli en fullständig zombie efter att ha blivit infesterad i filmen '28 Days Later'?,2,ja
12,Vad heter universitetet som spelar en central roll i spelet 'The Last of Us'?,University of Eastern Colorado,ja
13,Vilken typ av företag är Umbrella Corporation i spelserien Resident Evil?,Läkemedel,ja
14,Vad heter originalfilmen från 2002 som handlar om en spelkaraktär vid namn Alice som bekämpar zombies?,Resident Evil,ja
15,Vilket zombiefilm-parti innehåller en sång av Michael Jackson till namnet 'Thriller'?,Michael Jackson's Thriller,ja
16,"I boken 'World War Z', hur lång tid tog det för världen att återhämta sig från zombieutbrottet?",10 år,ja
17,Vad heter den lokala sheriffens avdelning i TV-serien 'The Walking Dead'?,King County Sheriff's Department,ja
18,Vilken japansk manga och anime-serie innebär en zombieapokalyps på en gymnasieskola?,Highschool of the Dead,ja
19,Vad är zombiernas favoritmat enligt populärkultur?,Hjärnor,ja
20,Vad heter filmen där Woody Harrelson och Jesse Eisenberg spelar huvudrollerna i en post-apokalyptisk värld befolkad av zombies?,Zombieland,ja
21,Vilken karaktär känd som 'Bub' dyker upp i filmen 'Day of the Dead'?,Zombien,ja
22,Vad heter medicinen som används för att förhindra zombiefieringen i spelet 'Dead Rising'?,Zombrex,ja
23,Vilken zombiekomedi skildrar en kärlekshistoria mellan en zombie och en människa?,Warm Bodies,ja
24,Vad är namnet på den mexikanska heliga dagen som också har en animad film med zombies?,Día de Muertos,ja
25,Hur många säsonger har TV-serien 'The Walking Dead' vid slutet av 2022?,11,ja
26,Vilket år släpptes det första spelet i 'Resident Evil'-serien?,1996,ja
27,Vad kallas den typ av zombie som kan springa istället för att gå långsamt?,Runners,ja
28,Vilken skådespelare spelar Columbus i filmen 'Zombieland'?,Jesse Eisenberg,ja
29,Vad heter platsen där de överlevande i TV-serien 'The Walking Dead' söker skydd i säsong ett?,CDC,ja
30,Vilken amerikansk författare skrev boken 'World War Z'?,Max Brooks,ja
31,Vilket är det primära sättet som zombies skildras att sprida sin infektion på?,Bett,ja
32,Vilken känd regissör gjorde filmen 'Dawn of the Dead' från 1978?,George A. Romero,ja
33,Vad heter karaktären som spelas av Milla Jovovich i 'Resident Evil'-filmerna?,Alice,ja
34,I vilket spel måste spelare överleva 14 dagar mot vågor av zombies?,Fortnite,ja
