id,Question,Answer,inkludera_i_pdf
1,Vilken film populariserade zombies 1968?,Night of the Living Dead,ja
2,Vad kallas ofta de levande döda i 'The Walking Dead'?,Vandrare,ja
3,Vilken författare skrev 'World War Z'?,Max Brooks,ja
4,Vad är den huvudsakliga smittvägen för zombier i de flesta filmer?,Bett,ja
5,Vilket spel har en karaktär som heter Jill Valentine?,Resident Evil,ja
6,Vad heter huvudstaden i 'Resident Evil' där utbrottet börjar?,Raccoon City,ja
7,Vilket år släpptes första säsongen av 'The Walking Dead' TV-serien?,2010,ja
8,I vilket land utspelar sig filmen 'Train to Busan'?,Sydkorea,ja
9,Vad heter den brittiska zombiefilmen med Simon Pegg och Nick Frost?,Shaun of the Dead,ja
10,Vilken grundvärdering är vanligtvis förknippad med zombies?,Konsumtion,ja
11,Vilken spelserie innehåller en ö kallad 'Dead Island'?,Dead Island,ja
12,Vilken TV-serie har karaktären Rick Grimes?,The Walking Dead,ja
13,Vilket zombiefilmkoncept introducerades av George A. Romero?,Den moderna zombien,ja
14,Vad heter den japanska animen med zombietema som utspelar sig på en skola?,Highschool of the Dead,ja
15,Vilken stad är centrum för utbrottet i '28 Days Later'?,London,ja
16,Vad är det vanligaste vapnet mot zombies i filmer och spel?,Hagelgevär,ja
17,"Vilken TV-serie är känd för sin slogan 'Fight the dead, fear the living'?",The Walking Dead,ja
18,Vad är titeln på Netflix-serien om en zombieapokalyps i Korea under Joseon-dynastin?,Kingdom,ja
19,Vilken skådespelare spelar huvudrollen i filmen 'I Am Legend'?,Will Smith,ja
20,Vilken virus är ansvarig för zombierna i filmen 'Resident Evil'?,T-virus,ja
21,Vad heter den lilla staden där zombierna först dyker upp i 'The Return of the Living Dead'?,Louisville,ja
22,Vilken författare skrev romanen 'Pride and Prejudice and Zombies'?,Seth Grahame-Smith,ja
23,Vilken är den populära webbtidningen om zombies?,The Zombie Times,ja
24,Vad är namnet på det farliga serumet i 'Resident Evil'?,T-virus,ja
25,Vilken film har en karaktär som heter Columbus som ger överlevnadstips?,Zombieland,ja
26,Vad är den vanliga termen för en stor grupp zombier?,Hord,ja
27,Vilken filmserie har en karaktär som heter Alice?,Resident Evil,ja
28,Vilken bok av Stephen King handlar om en zombieapokalyps?,Cell,ja
29,Vad är den främsta platsen för handlingen i 'The Walking Dead' säsong 1?,Atlanta,ja
30,Vilken regissör är känd för filmer som 'Dawn of the Dead' och 'Day of the Dead'?,George A. Romero,ja
31,Vilket år släpptes filmen '28 Days Later'?,2002,ja
32,Vilket spel introducerar spelaren till zombier på en öde ö?,Dead Island,ja
33,Vilken film från 2004 är en remake av George A. Romeros klassiker?,Dawn of the Dead,ja
34,Vilken karaktär i 'The Walking Dead' är tidigare sheriff?,Rick Grimes,ja
