id,Question,Answer,inkludera_i_pdf
1,Vem grundade Stockholm?,Birger Jarl,ja
2,Vilket år blev Gustav Vasa kung?,1523,ja
3,Vad heter den svenska regent som abdikerade 1654?,Kristina,ja
4,Vem besegrade Danmark i slaget vid Lund 1676?,Karl XI,ja
5,Vilket år grundades Uppsala universitet?,1477,ja
6,Vad betyder ordet 'rikskansler'?,Premiärminister,ja
7,När infördes allmän rösträtt för män och kvinnor i Sverige?,1921,ja
8,Vad kallades den svenska stormaktstiden?,1600-talet,ja
9,Vilket år besegrades Sverige i Poltava?,1709,ja
10,Vem var den sista svenska kungen som stupade i krig?,Karl XII,ja
11,Vilket år grundades Nobels fredspris?,1901,ja
12,Vem var Sveriges första kvinnliga statsminister?,Magdalena Andersson,ja
13,Vad hette drottningen som regerade före Gustav Adolf?,Kristina,ja
14,Nämn en viktig handelsstad i medeltida Sverige.,Visby,ja
15,Vilket år inträffade Stockholms blodbad?,1520,ja
16,Vad hette den svenske kungen som dog i slaget vid Lützen?,Gustav II Adolf,ja
17,Vilken händelse 1809 ledde till Sveriges förlust av Finland?,Finska kriget,ja
18,Hur kallades unionen mellan Sverige och Norge?,Unionstiden,ja
19,Vad hette den stormakt som Karl X Gustav attackerade 1658?,Danmark,ja
20,Vem var arkitekt bakom Sveriges nya grundlag från 1809?,Hans Järta,ja
21,Vad hette kungen under slaget vid Narva 1700?,Karl XII,ja
22,Vilket år blev Sverige ett självständigt kungarike?,Svearnas rike,ja
23,Hur länge pågick det stora nordiska kriget?,21 år,ja
24,Vad hette Sveriges första statsminister?,Louis De Geer,ja
25,Vilket år utropade sig Gustav III till enväldig kung?,1772,ja
26,Nämn den svensk-norske kungen som dog i Karlstad 1860.,Karl IV Johan,ja
27,Vilket land förlorade Sverige Skåne till?,Danmark,ja
28,Vad innebar frihetstiden i svensk historia?,Parlamentarism,ja
29,När började Gustav Vasa sin resa mot makten?,"Dalarna, 1521",ja
30,Vad kallades perioden 1718-1772 i svensk historia?,Frihetstiden,ja
31,När bytte Sveriges rike namn till Sverige?,1300-talet,ja
32,Vem avslutade Kalmarunionen för Sveriges del?,Gustav Vasa,ja
33,Vad är Ådalen 1931 känt för?,Arbetardemonstration,ja
34,Vad identifierar man som Gustav Vasas främsta bedrift?,Reformationen,ja
