"rubrik","beskrivning","Generera_ja_nej","border","outer_frame","inner_frame","question_text","answer_text"
"Maträtter","Identifiera maträtter utifrån deras typiska ingredienser och andra relevanta beskrivningar som gör rätten identifierbar. Varje fråga ska vara formulerad så att svaret är namnet på en maträtt. Namnet på maträtten ska inte vara samma som namnet på någon av ingredienserna. Exempel: ""Vilken italiensk rätt består av tunna köttskivor med citron och kapris?""","ja","00008B","CCFFCC","F0FFF0","8B0000","006400"
"Zombies","Testa de spelandes kunskaper om zombies! Exempel: ""I vilken George Romero-film från 1968 introducerades de moderna zombierna?""","ja","2E8B57","FFE4E1","FFF5EE","4B0082","FF4500"
"Sveriges historia","Testa de spelandes kunskaper om Sveriges historia. Exempel: ""Vilket år kröntes Gustav Vasa till Sveriges kung?""","ja","1E90FF","E6F3FF","F0FFFF","8B0000","008000"
"Hvad siger du","Testa de svensktalande spelarnas kunskaper om danska ord som skiljer sig mycket från samma ord på svenska. Ställ endast frågor om ord som låter och stavas mycket olika på svenska och danska. Formulera frågorna så att svaret är ett ord i det danska språket. Exempel: ""Vad betyder det danska ordet 'dreng'?""","ja","4B0082","E6E6FA","DFF9F9","000080","006400"
"Filmcitat","Testa spelarnas förmåga att identifiera filmer baserat på berömda citat. Varje fråga ska innehålla ett känt citat från en film, och svaret ska vara filmens titel. Exempel: ""Från vilken film kommer citatet 'May the Force be with you'?""","ja","8B4513","FFF8DC","FFEFD5","A0522D","228B22"
"Mystiska platser i världen","Utmana spelarnas kunskap om mindre kända mystiska platser runt om i världen. Fokusera på obskyra detaljer, lokala legender eller vetenskapliga teorier kring dessa platser. Undvik att nämna platsens namn direkt. Exempel: ""Vilken sjö i Skottland sägs innehålla ett förhistoriskt monster?""","ja","483D8B","E6E6FA","F0E6FF","4B0082","008080"
"C64-spel","Testa spelarnas kunskaper om Commodore 64-spel. Fokusera på kända speltitlar, karaktärer, eller unika egenskaper hos C64-spel. Exempel: ""Vilket populärt C64-spel handlar om en ninja i det feodala Japan?""","ja","4169E1","ADD8E6","F0FAFF","000080","006400"
"Vilken låt","Skapa entydiga frågor som identifierar specifika låtar. Använd en kombination av två eller tre unika detaljer, som kan inkludera: en ovanlig textrad, utgivningsår, artist, eller ett distinkt tema. Undvik generella beskrivningar. Exempel: ""Vilken Beatles-låt innehåller raden 'Living is easy with eyes closed'?""","ja","8B008B","FFE1FF","FFF5FF","4B0082","006400"
"Berömda citat","Utmana spelarnas kunskap om citat från kända personer. Fokusera på citat som belyser personens karaktär eller är välkända. Exempel: ""Vem sa 'Jag tänker, alltså finns jag'?""","ja","800080","FFCCFF","FFF0FF","4B0082","006400"
"Vilken låt har textraden","Utmana spelarnas förmåga att identifiera låttitlar baserat på specifika textrader. Välj unika eller karakteristiska textrader från låtar. För att öka svårighetsgraden, inkludera även information om artist, årtal eller genre. Undvik att använda rader som uppenbart avslöjar låttiteln. Exempel: ""Vilken Beatles-låt innehåller raden 'Living is easy with eyes closed'?""","ja","FF1493","FFB6C1","FFF0F5","8B008B","006400"
"Historiens galnaste uppfinningar","Skapa frågor om ovanliga men relativt kända uppfinningar från olika tidsperioder. Inkludera uppfinningar som kan verka udda eller ha överraskande användningsområden, men som de flesta har hört talas om. Frågorna kan handla om uppfinningens funktion, ursprung eller intressanta fakta. Exempel: ""Vad var det ursprungliga syftet med Coca-Cola?""","ja","FF4500","FFDAB9","FFFAF0","8B4513","006400"
"Historiska missförstånd","Utforska vanliga missuppfattningar om historiska händelser, personer eller fenomen. Frågorna kan beröra felaktiga antaganden, myter eller reviderade historiska fakta. Fokusera på att klargöra sanningen bakom missförstånden. Exempel: ""Vem uppfann egentligen glödlampan?""","ja","DC143C","FFA07A","FFF5EE","8B0000","006400"
"Lagar som förändrade historien","Utforska viktiga lagar och rättsfall från olika delar av världen och olika tidsperioder som haft stor påverkan på samhället. Fokusera på lagar som lett till betydande sociala, politiska eller ekonomiska förändringar. Frågorna kan handla om lagens innehåll, dess effekter, eller historiska sammanhang. Exempel: ""Vilken amerikansk lag från 1920 förbjöd tillverkning och försäljning av alkohol?""","ja","4682B4","87CEFA","F0F8FF","000080","006400"
