id,Question,Answer,inkludera_i_pdf
1,Vilken amerikansk lag från 1920 förbjöd tillverkning och försäljning av alkohol?,Förbudslagen,ja
2,Vilket rättsfall från 1954 ledde till avskaffandet av rassegregering i amerikanska skolor?,Brown v. Board of Education,ja
3,Vilken lag från 1886 förbjöd barnarbete i Sverige?,Barnarbetarförbudet,ja
4,Vilket år antogs FN:s deklaration om de mänskliga rättigheterna?,1948,ja
5,"Vilken lag från 1964 förbjöd diskriminering på grund av ras, kön, religion eller nationellt ursprung i USA?",Civil Rights Act,ja
6,Vilket brittiskt rättsfall från 1215 ledde till att kungen måste följa lagen?,Magna Carta,ja
7,Vilken lag från 1975 gav kvinnor i Sverige rätt till fri abort?,Abortlagen,ja
8,Vilket år infördes den allmänna rösträtten i Sverige?,1921,ja
9,Vem var ansvarig för att införa koden av Hammurabi?,Hammurabi,ja
10,Vilken lag från 1989 förbjöd barnaga i Sverige?,Barnagaförbudet,ja
11,Vilket år legaliserades samkönade äktenskap i Sverige?,2009,ja
12,Vilket land införde apartheidlagar 1948?,Sydafrika,ja
13,Vilken lag från 1865 avskaffade slaveriet i USA?,13:e tillägget,ja
14,Vad heter den lag som antogs i Sverige 1979 och som förbjuder diskriminering av kvinnor på arbetsmarknaden?,Jämställdhetslagen,ja
15,Vilken fransk lag från 1804 lade grunden för det moderna civila rättssystemet?,Code Napoléon,ja
16,Vilket år införde Sverige lagen om allmän sjukförsäkring?,1955,ja
17,Vilken lag från 1990 förbjöd handel med hotade arter?,CITES,ja
18,Vilken lag från 1215 erkände rättigheterna för engelska baroner och begränsade kungens makt?,Magna Carta,ja
19,Vilken lag från 1971 gav kvinnor rätt att inneha alla typer av civila och militära tjänster i Sverige?,Lag om lika rätt till arbete,ja
20,Vilket år antogs FN:s klimatkonvention?,1992,ja
21,Vilken amerikansk domstol dömde i fallet Roe v. Wade som legaliserade abort 1973?,Högsta domstolen,ja
22,Vilken lag från 1947 ledde till att Indien blev självständigt från Storbritannien?,Indiens självständighetslag,ja
23,Vilken lag från 1833 avskaffade slaveriet i hela det brittiska imperiet?,Slavery Abolition Act,ja
24,Vilket år infördes arvsrätt för kvinnor i Sverige?,1845,ja
25,Vilken lag från 1993 erkände samkönade partnerskap i Danmark?,Registrerat partnerskap,ja
26,Vilket år infördes lagstiftning mot barnpornografi i Sverige?,1980,ja
27,Vilken lag från 1978 gjorde det möjligt för svenska medborgare att få tillgång till sina personuppgifter som behandlas av myndigheter?,Datalagen,ja
28,Vilken amerikansk lag från 1965 skyddade rösträtt för minoriteter?,Voting Rights Act,ja
29,Vilken lag från 2008 förbjöd diskriminering på grund av sexuell läggning i Sverige?,Diskrimineringslagen,ja
30,Vilket år antogs lagen om partnerskap för samkönade par i Sverige?,1995,ja
31,Vilken lag från 1700-talet i Frankrike blev en symbol för upplysningstidens idéer om lika rättigheter?,Deklarationen om människans och medborgarens rättigheter,ja
32,Vilken amerikansk lag från 1935 skyddade fackföreningsrättigheter?,Wagner Act,ja
33,Vilken lag från 1868 gav medborgarskap till alla födda i USA?,14:e tillägget,ja
34,Vilken lag från 1991 i Sverige gjorde det möjligt för personer med funktionshinder att få stöd och service?,LSS,ja
