id,Question,Answer,inkludera_i_pdf
1,Vilket populärt C64-spel handlar om en ninja i det feodala Japan?,The Last Ninja,ja
2,Vad heter huvudpersonen i spelet 'Impossible Mission'?,Elvin Atombender,ja
3,Vilket C64-spel involverar att skjuta ner rymdskepp i en galax?,Galaga,ja
4,I vilket spel måste du guida en groda över en väg och en flod?,Frogger,ja
5,Vilket spel innehåller karaktären 'Monty Mole'?,Wanted: Monty Mole,ja
6,Hur många banor finns det i spelet 'Bubble Bobble'?,100,ja
7,Vad heter spelet där du kontrollerar en riddare som slåss mot monster i slott?,Ghosts 'n Goblins,ja
8,Vad heter huvudpersonen i spelet 'Giana Sisters'?,Giana,ja
9,Vilket spel går ut på att undvika spindlar och samla skatter i en grotta?,Spelunker,ja
10,Vilket spel handlar om en blå igelkott som springer genom banor?,Sonic the Hedgehog,ja
11,Vilket C64-spel innehåller en maskot som heter 'Bub'?,Bubble Bobble,ja
12,Vad heter spelet där du styr en grävande maskin för att undvika fiender och samla diamanter?,Boulder Dash,ja
13,I vilket spel tävlar du i olika idrottsgrenar som löpning och längdhopp?,Summer Games,ja
14,Vilket spel går ut på att styra en bil genom en hinderbana?,Stunt Car Racer,ja
15,Vad heter spelet där du kontrollerar en bärbar dator för att lösa pussel?,Gribbly's Day Out,ja
16,Vilket spel handlar om att styra en rymdskepp genom ett asteroidfält?,Asteroids,ja
17,Vad heter spelet där du bygger och försvarar en borg mot invaderande fiender?,Fort Apocalypse,ja
18,Vilket spel innehåller en karaktär som heter 'Hawkeye' som slåss mot fiender?,Hawkeye,ja
19,Vad heter spelet där du styr en soldat genom en djungel för att rädda gisslan?,Commando,ja
20,Vilket spel handlar om en groda som ska rädda sin flickvän från en ond trollkarl?,Frogs and Flies,ja
21,Vad heter spelet där du styr en helikopter för att rädda civila?,Choplifter,ja
22,Vilket spel går ut på att samla nycklar och undvika fiender i en labyrint?,Gauntlet,ja
23,Vad heter spelet där du styr en trollkarl som ska besegra en ond häxa?,Wizardry,ja
24,Vilket spel handlar om att föra en lastbil genom olika hinderbanor?,Super Truckin',ja
25,Vad heter spelet där du styr en robot för att lösa pussel och undvika fällor?,Robbo,ja
26,Vilket spel går ut på att rädda prinsessan från en drake?,Dragon's Lair,ja
27,Vad heter spelet där du styr en rymdskepp genom olika nivåer för att besegra utomjordingar?,Space Harrier,ja
28,Vilket spel handlar om att styra en tank genom en krigszon?,Battlezone,ja
29,Vad heter spelet där du styr en viking genom olika äventyr?,Viking Raiders,ja
30,Vilket spel går ut på att styra en racerbil genom olika banor?,Pitstop II,ja
31,Vad heter spelet där du styr en cowboy som slåss mot banditer?,Gun.Smoke,ja
32,Vilket spel handlar om att rädda mänskligheten från en utomjordisk invasion?,Defender,ja
33,Vad heter spelet där du kontrollerar en rymdskepp för att samla stjärnor?,Star Force,ja
34,Vilket spel går ut på att lösa mysterier och undvika fällor i ett hemsökt hus?,Maniac Mansion,ja
