id,Question,Answer,inkludera_i_pdf
1,"Vad heter den italienska rätten gjord på tomatsås, mozzarella och basilika?",Pizza Margherita,ja
2,"Vilken japansk maträtt består av ris, vinäger och rå fisk?",Sushi,ja
3,"Namnet på den franska maträtten gjord av stekt eller rostad skiva bröd, ofta serverad med smör och sylt?",Pain Perdu,ja
4,"Den vietnamesiska soppa gjord på buljong, risnudlar, örter och kött, vanligtvis nötkött eller kyckling?",Pho,ja
5,"Vilken spansk maträtt innehåller ris, saffran, skaldjur, kyckling och grönsaker?",Paella,ja
6,"Vad kallas den grekiska gratängen som består av auberginer, potatis, köttfärs och béchamelsås?",Moussaka,ja
7,Namnet på den svenska rätten som består av rå fisk marinerad i en söt och kryddig senapssås?,Gravad lax,ja
8,"Hur kallas den italienska pastarätten som innehåller bacon, ägg, parmesan och svartpeppar?",Carbonara,ja
9,"Vad heter den mexikanska rätten med fyllt och rullat tunnbröd, ofta serverat med sås och ost?",Enchilada,ja
10,"Vilken indisk maträtt består av kyckling i en krämig och kryddig sås, ofta med tomat och grädde?",Butter Chicken,ja
11,"Den japanska rätten som består av grillade kycklingspett, oftast serverad med tare- eller saltmarinad?",Yakitori,ja
12,Namnet på den amerikanska maträtten som består av en friterad kycklingfilé serverad i ett bröd?,Chicken Sandwich,ja
13,"Vilken fransk maträtt består av råbiff, ofta serverad med äggula och kapris?",Steak Tartare,ja
14,Hur kallas den koreanska grillrätt som vanligtvis består av marinerat nötkött?,Bulgogi,ja
15,"Vad heter den peruanska maträtt gjord på rå fisk marinerad i limejuice, chili och koriander?",Ceviche,ja
16,Den italienska efterrätten som byggs lager på lager av kaffeindränkt kex och mascarpone?,Tiramisu,ja
17,"Vad heter den ungerska grytan som oftast innehåller kött, potatis, paprika och tomat?",Gulasch,ja
18,Vilken kinesisk maträtt består av ångade eller friterade knyten fyllda med kött eller grönsaker?,Dumplings,ja
19,"Namnet på den tunisiska rätten gjord på ägg, tomater, grönsaker och ofta med kött eller harissa?",Shakshuka,ja
20,Den marockanska grytan som ofta innehåller lamm eller kyckling och är smaksatt med saffran och kanel?,Tagine,ja
21,"Vad kallas de argentinska fyllda degknyten som kan innehålla kött, ost eller grönsaker?",Empanadas,ja
22,Vilken amerikansk maträtt består av grillat nötkött som skurits i tunna skivor efter tillagning?,Brisket,ja
23,Namnet på den indonesiska rätten som är en het och kryddig gryta gjord på kryddor och nötkött?,Rendang,ja
24,Hur kallas det italienska riset som långsamt kokas med buljong tills det blir krämigt?,Risotto,ja
25,Vad heter den traditionella engelska maträtt som består av korv serverad med mosade potatisar och lökgravy?,Bangers and Mash,ja
26,Vilken brasiliansk maträtt är en gryta gjord på svarta bönor och olika sorters kött?,Feijoada,ja
27,"Namnet på den libanesiska maträtten som är en sallad gjord på persilja, bulgur, tomat och citron?",Tabbouleh,ja
28,"Hur kallas den japanska risrätten toppad med rå eller tillagat fisk, grönsaker och ägg?",Chirashi,ja
29,Vad heter den indiska vegetariska maträtt gjord på spenat och ost (paneer)?,Palak Paneer,ja
30,"Den thailändska soppa gjord på kokosmjölk, kyckling, skaldjur, chili och lime?",Tom Kha Gai,ja
31,"Vad heter de svenska köttbullarna serverade med potatis, lingonsylt och gräddsås?",Köttbullar,ja
32,Vilken amerikansk bakverk består av en hackad sockerkaka som blandas med krämer och bär och sedan fryses?,Trifle,ja
33,"Namnet på den franska rätten som består av bondbröd, vitlök, broccoli och ost gratinerad?",Gratin Dauphinois,ja
34,"Den spanska maträtten gjord av läckra små rätter som ofta innehåller skinka, oliver och skaldjur?",Tapas,ja
