id,Question,Answer,inkludera_i_pdf
1,Vilken snabbmatskedja är känd för sin Big Mac?,McDonald's,ja
2,Vilken snabbmatskedja är känd för sin Whopper?,Burger King,ja
3,"Vilken snabbmatsrätt består av kött, sallad, tomat och dressing i ett hamburgerbröd?",Hamburgare,ja
4,Vilken snabbmatskedja är känd för sin slogan 'Eat Fresh'?,Subway,ja
5,Vilken snabbmatskedja serverar en meny som heter Happy Meal?,McDonald's,ja
6,"Vilken snabbmatsrätt kommer ursprungligen från Mexiko och består av tortilla fylld med kött, ost och grönsaker?",Taco,ja
7,Vilken snabbmatsrätt består av en korv i ett bröd och ofta serveras med ketchup och senap?,Hotdog,ja
8,Vilken snabbmatskedja är känd för sin kyckling med hemliga kryddor?,KFC,ja
9,"Vilken snabbmatsrätt är en italiensk maträtt som består av en degbotten toppad med tomatsås, ost och andra ingredienser?",Pizza,ja
10,Vilken snabbmatskedja är känd för sin Filet-O-Fish?,McDonald's,ja
11,Vilket snabbmatsställe är känt för sina Frostys?,Wendy's,ja
12,Vilken snabbmatskedja serverar en produkt som heter 'Crunchwrap Supreme'?,Taco Bell,ja
13,Vilken snabbmatskedja är känd för sin Submarine sandwich?,Subway,ja
14,Vilken snabbmatskedja har en clown som maskot?,McDonald's,ja
15,"Vilken snabbmatsrätt från Mellanöstern består av kött, grönsaker och sås insvept i ett platt bröd?",Kebab,ja
16,Vilken snabbmatskedja är känd för sina fyrkantiga hamburgare?,Wendy's,ja
17,"Vilken snabbmatsrätt består av strimlat kött, ostsås och pommes frites i ett bröd?",Cheesesteak,ja
18,Vilken snabbmatskedja är känd för sin 'Double-Double' burger?,In-N-Out Burger,ja
19,Vilken snabbmatskedja är känd för att servera pannkakor hela dagen?,IHOP,ja
20,Vilken snabbmatskedja är känd för sina kycklingnuggets och strips?,Chick-fil-A,ja
21,"Vilken snabbmatsrätt består av ris, bönor, kött och grönsaker i en skål eller insvept i en tortilla?",Burrito,ja
22,Vilken snabbmatskedja är känd för sin 'Original Recipe' kyckling?,KFC,ja
23,Vilken snabbmatsrätt består av en friterad deg fylld med kött och ost?,Empanada,ja
24,Vilken snabbmatskedja är känd för sina 'Coney Dogs'?,Sonic Drive-In,ja
25,Vilken snabbmatskedja serverar en produkt som heter 'Roast Beef Sandwich'?,Arby's,ja
26,Vilken snabbmatskedja är känd för sina 'ButterBurgers'?,Culver's,ja
27,Vilken snabbmatsrätt är en asiatisk maträtt som ofta består av nudlar och grönsaker?,Wok,ja
28,Vilken snabbmatskedja är känd för sina smörgåsar med italienskt tema?,Quiznos,ja
29,"Vilken snabbmatsrätt består av kyckling, ris och curry?",Chicken Curry,ja
30,Vilken snabbmatskedja är känd för sina 'Curly Fries'?,Arby's,ja
31,Vilken snabbmatskedja serverar en produkt som heter 'Famous Bowl'?,KFC,ja
32,"Vilken snabbmatsrätt består av friterad kyckling, pickles och sås i ett bröd?",Chicken Sandwich,ja
33,Vilken snabbmatskedja är känd för sina 'Fish & Chips'?,Long John Silver's,ja
34,Vilken snabbmatskedja är känd för sina 'Sliders'?,White Castle,ja
