id,Question,Answer,inkludera_i_pdf
1,Vilket danskt ord betyder 'flicka' på svenska?,Pige,ja
2,Vad är den danska motsvarigheten till ordet 'mysa'?,Hygge,ja
3,Hur säger man 'snabbt' på danska?,Hurtigt,ja
4,Vad betyder det danska ordet 'morgenmad' på svenska?,Frukost,ja
5,Vilken dansk fras används för 'äta ute'?,Spise ude,ja
6,Vad betyder det danska uttrycket 'at tage ved lære'?,Att lära sig,ja
7,Vad betyder det danska ordet 'fløde' på svenska?,Grädde,ja
8,Vad betyder 'sjovt' på svenska?,Roligt,ja
9,Vilket danskt ord betyder 'tråkigt'?,Kedeligt,ja
10,Vad heter 'tårta' på danska?,Lagkage,ja
11,Vad betyder 'mænd' på svenska?,Män,ja
12,Vad betyder det danska ordet 'barnet' på svenska?,Barnet,ja
13,Vilket danskt ord betyder 'lägenhet'?,Lejlighed,ja
14,Vad är den danska motsvarigheten till 'skor'?,Sko,ja
15,Vilket danskt ord används för 'grönsak'?,Grøntsag,ja
16,Vad betyder den danska frasen 'at gå i byen'?,Gå ut på stan,ja
17,Vilket danskt ord betyder 'leende'?,Smil,ja
18,Vad betyder det danska ordet 'ven' på svenska?,Vän,ja
19,Hur säger man 'konsert' på danska?,Koncert,ja
20,Vad betyder 'frygt' på svenska?,Rädsla,ja
21,Vad betyder det danska ordet 'smuk' på svenska?,Vacker,ja
22,Vilken dansk fras motsvarar 'ha det bra'?,Ha det godt,ja
23,Vad betyder det danska ordet 'kunst' på svenska?,Konst,ja
24,Vad heter 'förälder' på danska?,Forælder,ja
25,Vad är det svenska ordet för det danska 'ferie'?,Semester,ja
26,Vad betyder 'stue' på svenska?,Vardagsrum,ja
27,Vad betyder det danska uttrycket 'at gå på mejet'?,Gå ut,ja
28,Vad heter 'fönster' på danska?,Vindue,ja
29,Vad betyder det danska ordet 'klokken' på svenska?,Klockan,ja
30,Vad betyder 'grøn' på svenska?,Grön,ja
31,Vad heter 'vatten' på danska?,Vand,ja
32,Vad betyder det danska ordet 'noget' på svenska?,Något,ja
33,Hur säger man 'läsa' på danska?,Læse,ja
34,Vad betyder 'bil' på svenska?,Bil,ja
