id,Question,Answer,inkludera_i_pdf
1,Vad betyder det danska ordet 'hyggelig' på svenska?,Mysig,ja
2,Hur översätter man det svenska ordet 'semester' till danska?,Ferie,ja
3,Vad innebär det danska uttrycket 'gå i seng' på svenska?,Gå och lägga sig,ja
4,Vilken dansk maträtt är 'smørrebrød' på svenska?,Smörrebröd,ja
5,Namnge det danska ordet för 'god morgon'.,Godmorgen,ja
6,Vad heter 'hund' på danska?,Hund,ja
7,Vad betyder 'fløde' på svenska?,Grädde,ja
8,Hur säger man 'tack' på danska?,Tak,ja
9,Vilken är den danska motsvarigheten till 'att gå på bio'?,At gå i biografen,ja
10,Vad betyder 'rødgrød med fløde' på svenska?,Röd gröt med grädde,ja
11,Hur säger man 'vän' på danska?,Ven,ja
12,Vad är det danska ordet för 'jordgubbar'?,Jordbær,ja
13,Vad kallas 'polisen' på danska?,Politiet,ja
14,Vad betyder 'skål' på svenska?,Skål,ja
15,Vad heter 'sommarhus' på danska?,Sommerhus,ja
16,Hur översätter man 'god natt' till danska?,Godnat,ja
17,Vad heter 'födelsedag' på danska?,Fødselsdag,ja
18,Vad betyder 'sove' på svenska?,Sova,ja
19,Namnge det danska ordet för 'bil'.,Bil,ja
20,Hur översätter man 'vinter' till danska?,Vinter,ja
21,Vad heter 'vår' på danska?,Forår,ja
22,Vad betyder 'køkken' på svenska?,Kök,ja
23,Vad innebär 'cykle' på svenska?,Cykla,ja
24,Hur säger man 'god jul' på danska?,Glædelig jul,ja
25,Vad betyder 'venstre' på svenska?,Vänster,ja
26,Hur översätter man 'hustru' till danska?,Hustru,ja
27,Vad heter 'glass' på danska?,Is,ja
28,Vad är det danska ordet för 'sommar'?,Sommer,ja
29,Nämn det danska ordet för 'fisk'.,Fisk,ja
30,Vad betyder 'smør' på svenska?,Smör,ja
31,Vad heter 'öl' på danska?,Øl,ja
32,Vad är betydelsen av 'sulten' på svenska?,Hungrig,ja
33,Hur översätter man 'rädd' till danska?,Bange,ja
34,Vad betyder 'hurtig' på svenska?,Snabb,ja
