id,Question,Answer,inkludera_i_pdf
1,Vad är en zombie?,Återuppstått lik,ja
2,Var kommer zombie-mytologin ursprungligen ifrån?,Haiti,ja
3,Hur dödar man en zombie i de flesta berättelser?,Huvudskott,ja
4,Vad kallas filmen där zombies attackerar ett köpcentrum?,Dawn of the Dead,ja
5,Vilket virus förvandlar människor till zombies i filmen 'Resident Evil'?,T-viruset,ja
6,Vem regisserade 'Night of the Living Dead'?,George A. Romero,ja
7,Vad heter den populära TV-serien om zombies och överlevare?,The Walking Dead,ja
8,När lanserades filmen 'World War Z'?,2013,ja
9,Vad är motivet bakom zombiernas angrepp i '28 Days Later'?,Rage-virus,ja
10,Vilken bok av Max Brooks handlar om en global zombiekris?,World War Z,ja
11,Vad betyder ordet 'zombie' på haitiska kreolska?,Ande,ja
12,Namnge en välkänd zombiekomedi med Simon Pegg,Shaun of the Dead,ja
13,Vilken färdighet är mest värdefull i en zombieapokalyps?,Överlevnad,ja
14,Vad är den vanligaste platsen för en zombieepidemi i filmers början?,Stad,ja
15,Nämn en karaktär från 'The Walking Dead',Rick Grimes,ja
16,Vilken typ av varelse måste man förstöra för att döda en zombie i 'Game of Thrones'?,White Walker,ja
17,Vad kallas zombies i 'The Last of Us'?,Infected,ja
18,Hur många dagar har en zombieöverlevare på sig att förbereda sig i '7 Days to Die'?,7 dagar,ja
19,Vilket land attackeras av zombies i 'Train to Busan'?,Sydkorea,ja
20,Hur lång tid tar det oftast för en person att bli en zombie efter att ha blivit biten?,Några timmar,ja
21,Vilken regissör skapade serien 'Walking Dead'?,Frank Darabont,ja
22,Vad är den huvudsakliga näringskällan för zombies?,Människokött,ja
23,"Vilket spel släpptes först, 'Resident Evil' eller 'Left 4 Dead'?",Resident Evil,ja
24,Vad är det viktigaste skyddet mot zombieangrepp?,Tillflykt,ja
25,Hur förvandlas en död människa till zombie i haitisk mytologi?,Trolldom,ja
26,Vad heter anti-zombie-lagen i 'Zombieland' som säger att man alltid ska dubbelkolla att en zombie är död?,Double Tap,ja
27,Vem spelar huvudrollen i filmen 'I Am Legend'?,Will Smith,ja
28,Vad är zombiernas svaghet i 'Shaun of the Dead'?,Brist på intelligens,ja
29,Vilken år har människorna övergett jordytan och zombies styr i spelet 'Dying Light'?,2015,ja
30,Vad används för att förhindra zombieförvandling i 'Z Nation'?,Vaccin,ja
31,Vilken art av svamp är ansvarig för infektionen i spelet 'The Last of Us'?,Cordyceps,ja
32,Vad heter platsen där de överlevande tar sin tillflykt i 'Fear the Walking Dead'?,Stadium,ja
33,Vilken TV-serie visar en värld där barn överlever en zombieapokalyps i en stad fylld av faror?,Daybreak,ja
34,Vad är det man måste skydda sig från för att överleva i 'Dead Rising'?,Zombies,ja
