id,Question,Answer,inkludera_i_pdf
1,"Vilken svensk maträtt består av riven potatis, lök och fläsk som steks i en panna?",Raggmunk,ja
2,"Vilket italienskt pastarätt innehåller ägg, pancetta, pecorinoost och svartpeppar?",Carbonara,ja
3,Vad heter den japanska maträtt som består av rå fisk och ris?,Sushi,ja
4,Vilka ingredienser ingår i en traditionell grekisk sallad?,Grekisk sallad,ja
5,"Vilken fransk maträtt består av långkokt nötkött i rödvin, morötter, lök och svamp?",Boeuf Bourguignon,ja
6,"Vad kallas den spanska risrätt som ofta innehåller skaldjur, kyckling och saffran?",Paella,ja
7,"Vilken svensk maträtt består av köttbullar, potatismos och lingonsylt?",Köttbullar,ja
8,"Vilken maträtt från Mexiko består av en tortilla fylld med kött, ost, sallad och salsa?",Taco,ja
9,"Vilken italiensk maträtt består av lager av pasta, köttfärssås och béchamelsås?",Lasagne,ja
10,Vilken indisk maträtt är en kryddig gryta med kyckling och tomatbaserad sås?,Chicken Tikka Masala,ja
11,"Vad kallas den svenska maträtt som är en gratäng av potatis, lök och ansjovis?",Janssons frestelse,ja
12,"Vilken japansk maträtt består av nudlar i buljong med soja, ägg, grönsaker och kött?",Ramen,ja
13,Vilken fransk maträtt består av små snäckor som gratineras med vitlökssmör?,Escargot,ja
14,Vad heter den brasilianska maträtt som är en gryta med svarta bönor och olika sorters kött?,Feijoada,ja
15,Vilken italiensk maträtt består av ris som kokas med buljong och ofta smaksätts med saffran?,Risotto,ja
16,Vilken koreansk maträtt består av fermenterad kål som är kryddad med chili och vitlök?,Kimchi,ja
17,Vilken marockansk maträtt tillagas i en speciell lergryta och innehåller ofta lamm och torkad frukt?,Tagine,ja
18,"Vad kallas den libanesiska maträtt som består av bulgur, tomater, persilja, mynta och lök?",Tabbouleh,ja
19,"Vilken maträtt från Vietnam består av risnudlar, buljong och ofta nötkött eller kyckling?",Pho,ja
20,"Vilken svensk maträtt består av potatis, lök, köttfärs som gräddas i ugn med äggstanning?",Paj,ja
21,Vilken amerikansk maträtt består av en grillad biff som serveras med potatis och grönsaker?,Steak,ja
22,"Vilken italiensk maträtt består av en tunn, rund bröddeg som toppas med tomatsås, ost och andra ingredienser?",Pizza,ja
23,Vad kallas den ryska soppa som oftast görs på rödbetor och serveras med gräddfil?,Borsjtj,ja
24,Vilken marockansk rätt består av ångkokta semolinagryn och serveras med grytor?,Couscous,ja
25,Vilken kinesisk maträtt består av små degknyten fyllda med kött eller grönsaker som ångkokas?,Dumplings,ja
26,Vilken italiensk maträtt består av en deg fylld med ricottaost och spenat som kokas och serveras med tomatsås?,Ravioli,ja
27,Vad kallas den spanska rätt som består av små rätter eller snacks som ofta serveras med vin eller öl?,Tapas,ja
28,"Vilken ungersk maträtt är en kryddstark gryta med nötkött, paprika och potatis?",Gulasch,ja
29,Vilken fransk maträtt består av en gratäng av skivade potatisar och grädde?,Gratin Dauphinois,ja
30,Vad kallas den indiska rätt som är en linsgryta kryddad med curry och andra kryddor?,Dhal,ja
31,"Vilken italiensk maträtt är en kall antipasto med lufttorkad skinka, melon och mozzarella?",Prosciutto e Melone,ja
32,"Vilken thailändsk maträtt består av stekta risnudlar med ägg, tofu, räkor, böngroddar och jordnötter?",Pad Thai,ja
33,"Vilken svensk maträtt består av rå, kryddad fisk som oftast serveras med potatis och gräddfil?",Gravad lax,ja
34,"Vilken mexikansk maträtt består av majsbröd fyllt med kött, bönor, ost och ofta serverat med salsa?",Quesadilla,ja
