id,Question,Answer,inkludera_i_pdf
1,Vad kallas en återuppstånden död människa?,Zombie,ja
2,Vilken hjärna äter zombies enligt traditionella myter?,Människohjärna,ja
3,Från vilket land kommer den ursprungliga zombiemytologin?,Haiti,ja
4,Genom vad återupplivas en zombie ofta?,Magisk ritual,ja
5,Vad är en vanlig orsak till zombieutbrott i filmer?,Virus,ja
6,Nämn en klassisk zombiefilm av George A. Romero.,Night of the Living Dead,ja
7,Hur dödar man ofta en zombie enligt populärkulturen?,Skott i huvudet,ja
8,Vad betyder ordet 'zombi' på kreolspråk?,Ande,ja
9,Vilket år släpptes filmen 'Dawn of the Dead'?,1978,ja
10,Vilken TV-serie handlar om en grupp överlevare i en värld översvämmad av zombies?,The Walking Dead,ja
11,Vilken metall används för att döda zombies i filmen 'World War Z'?,Svärd,ja
12,Vad kallas zombies som kan springa snabbt?,Runner zombies,ja
13,Vilken författare skrev 'The Zombie Survival Guide'?,Max Brooks,ja
14,Hur smittas människor av zombies enligt många filmer?,Bitsår,ja
15,Vilken känd svensk film från 2005 handlar om zombies?,Storm,ja
16,Vad kännetecknar en 'walker' i The Walking Dead?,Långsam,ja
17,I vilket spel måste spelare överleva zombieanfall i en stad kallad Raccoon City?,Resident Evil,ja
18,Vad kallas en person som kontrollerar zombies med magi i Haitisk tradition?,Bokor,ja
19,Vad är ett annat populärt namn för levande döda i datorspel?,Undead,ja
20,Vilket år släpptes spelet 'Left 4 Dead'?,2008,ja
21,Vad brukar zombies oftast vara hungriga på?,Kött,ja
22,Vilken genre hör zombies till?,Skräck,ja
23,Vad är den huvudsakliga svagheten hos zombies i många filmer?,Hjärnan,ja
24,Vilken författare skrev boken 'World War Z'?,Max Brooks,ja
25,Vad heter filmen där zombies plötsligt invaderar en shoppinggalleria?,Dawn of the Dead,ja
26,Vad brukar zombies kallas på spanska?,Zombis,ja
27,Vilken populär låt framfördes av Michael Jackson som inkluderar zombies i musikvideon?,Thriller,ja
28,Vilken kroppsdel av zombies är ofta ruttnande?,Huden,ja
29,Vad är ett vanligt symptom på att ha smittats av ett zombievirus?,Feber,ja
30,Vad är ett skydd mot zombies i många filmer?,Barrikader,ja
31,Vilket spel blev känt för sina realistiska zombies och överlevnadsaspekt?,Dying Light,ja
32,Vilken film har en labbhund som blir en zombie?,Resident Evil,ja
33,Vad kallas ofta zombieapokalypsens början?,Utbrott,ja
34,Vilken humoristisk film om två vänner under en zombieattack heter 'Shaun of the Dead'?,Shaun of the Dead,ja
