id,Question,Answer,inkludera_i_pdf
1,På vilken ö i Stockholm ligger Kungliga slottet?,Stadsholmen,ja
2,Vilken stadsdel är känd för sitt stora shoppingdistrikt med bland annat Drottninggatan och Sergels torg?,Norrmalm,ja
3,Namnge ön där ABBA-museet ligger.,Djurgården,ja
4,Vad heter bron som förbinder Södermalm med Gamla stan?,Slussen,ja
5,Vilken ö är känd för sina historiska skeppsvarv och Vasamuseet?,Djurgården,ja
6,Namnge den största ön i Stockholms skärgård.,Värmdö,ja
7,"Vilken stadsdel är känd för sin stora park, Hagaparken?",Solna,ja
8,Vilket område är känt som Stockholms finanskvarter?,Norrmalm,ja
9,Vad heter parken där Stockholms stadshus ligger?,Riddarholmen,ja
10,Vilken ö i Stockholm är känd för sitt nöjesfält Gröna Lund?,Djurgården,ja
11,Hur många stadsdelar finns det i Stockholm?,14,ja
12,Vad heter ön där Stockholms centralstation är belägen?,Norrmalm,ja
13,Vilken stadsdel är känt för sina många konstgallerier och moderna konst?,Södermalm,ja
14,Namnge den plats där Nobelpriset utdelas varje år.,Konserthuset,ja
15,Vilken stadsdel är känd för sitt stora köpcentrum Mall of Scandinavia?,Solna,ja
16,Vad heter parken där Stockholms universitet ligger?,Frescati,ja
17,"Vilken ö i Stockholm är känd för sitt moderna museum, Moderna Museet?",Skeppsholmen,ja
18,Vad heter gatan som är känd för sina många restauranger och nattklubbar i Stockholm?,Stureplan,ja
19,"Vilken stadsdel är känd för sitt slott, Ulriksdals slott?",Solna,ja
20,Namnge den ö där Stockholms stadshus ligger.,Kungsholmen,ja
21,"Vilken stadsdel är känd för sin stora kyrkogård, Skogskyrkogården?",Enskede,ja
22,Vad heter den stora gatan som löper genom Gamla stan?,Västerlånggatan,ja
23,Vilken ö är känd för sina stora grönområden och museer som Skansen och Nordiska museet?,Djurgården,ja
24,Namnge platsen där Stockholms stadshus ligger.,Kungsholmen,ja
25,"Vilken stadsdel är känd för sitt stora shoppingcenter, Gallerian?",Norrmalm,ja
26,Vad heter den stora parken i Stockholm som är känd för sina körsbärsblomningar på våren?,Kungsträdgården,ja
27,Vilken stadsdel är känd för sina många vintagebutiker och kaféer?,Södermalm,ja
28,Namnge platsen där Stockholms slott ligger.,Gamla stan,ja
29,Vilken ö är känd för sina många teatrar och operahus?,Skeppsholmen,ja
30,Vad heter den stora gatan som löper genom Östermalm och är känd för sina exklusiva butiker?,Biblioteksgatan,ja
31,"Vilken stadsdel är känd för sitt stora sjukhus, Karolinska Universitetssjukhuset?",Solna,ja
32,Namnge den berömda marknadsplatsen i Stockholm som är känd för sina matstånd och färskvaror.,Hötorgshallen,ja
33,Vilken ö är känd för sina många broar och landmärken som Stadshuset och Riddarholmskyrkan?,Riddarholmen,ja
34,Vad heter den stora parken i centrala Stockholm som är känd för sina grönområden och promenadstråk?,Humlegården,ja
