id,Question,Answer,inkludera_i_pdf
1,"Vem sa 'Jag tänker, alltså finns jag'?",René Descartes,ja
2,"Vilken känd person sa 'Att vara eller inte vara, det är frågan'?",William Shakespeare,ja
3,Vem sa 'Det enda jag vet är att jag inget vet'?,Sokrates,ja
4,Vem är känd för citatet 'Jag har en dröm'?,Martin Luther King Jr.,ja
5,Namnge personen som sa 'Jag är beredd att dö för min tro'?,Mahatma Gandhi,ja
6,"Vilken person sa 'Ett litet steg för människan, ett stort steg för mänskligheten'?",Neil Armstrong,ja
7,Vem sa 'Vi har inget annat att frukta än fruktan själv'?,Franklin D. Roosevelt,ja
8,Vem är känd för att säga 'Ge mig frihet eller ge mig döden'?,Patrick Henry,ja
9,Vilken person sa 'Kunskap är makt'?,Francis Bacon,ja
10,Vem sa 'Carpe diem'?,Horatius,ja
11,Vem sa 'Det är bättre att ha älskat och förlorat än att aldrig ha älskat alls'?,Alfred Tennyson,ja
12,Vem är känd för citatet 'Var förändringen du vill se i världen'?,Mahatma Gandhi,ja
13,Vem sa 'Kraft kommer inte från fysisk kapacitet. Den kommer från en okuvlig vilja'?,Mahatma Gandhi,ja
14,Vem sa 'I have nothing to declare except my genius'?,Oscar Wilde,ja
15,Vilken filosof sa 'Känn dig själv'?,Sokrates,ja
16,"Vem sa 'Ingenting är omöjligt, ordet själv säger 'jag är möjligt''?",Audrey Hepburn,ja
17,Vem sa 'Livet är vad som händer medan du är upptagen med att göra andra planer'?,John Lennon,ja
18,"Vem sa 'Jag har inget annat att erbjuda än blod, möda, tårar och svett'?",Winston Churchill,ja
19,"Vilken person sa 'Det är våra val som visar vilka vi verkligen är, mycket mer än våra förmågor'?",J.K. Rowling,ja
20,Vem sa 'För att vara oersättlig måste man alltid vara annorlunda'?,Coco Chanel,ja
21,"Vem är känd för citatet 'Håll dina vänner nära, men dina fiender närmare'?",Sun Tzu,ja
22,"Vem sa 'Om du vill ha något sagt, fråga en man; om du vill ha något gjort, fråga en kvinna'?",Margaret Thatcher,ja
23,Vem sa 'Den enda sanna visdomen är att veta att du vet ingenting'?,Sokrates,ja
24,"Vilken person sa 'Den som inte har något att dö för, har inget att leva för'?",Martin Luther King Jr.,ja
25,"Vem sa 'Den största ära i livet ligger inte i att aldrig falla, utan i att resa sig varje gång vi faller'?",Nelson Mandela,ja
26,Vem sa 'Ge mig sex timmar att hugga ner ett träd och jag kommer att spendera de första fyra på att vässa yxan'?,Abraham Lincoln,ja
27,Vem sa 'Det enda sättet att göra ett bra jobb är att älska det du gör'?,Steve Jobs,ja
28,Vem sa 'Det är aldrig för sent att bli vad du kunde ha blivit'?,George Eliot,ja
29,Vem sa 'Ett pessimist ser svårigheter i varje möjlighet; en optimist ser möjligheter i varje svårighet'?,Winston Churchill,ja
30,Vem sa 'Att vandra tusen mil börjar med ett steg'?,Laozi,ja
31,Vem sa 'Den som har ett varför att leva kan uthärda nästan alla hur'?,Friedrich Nietzsche,ja
32,Vem sa 'Det bästa sättet att förutsäga framtiden är att skapa den'?,Peter Drucker,ja
33,"Vem sa 'Framgång är inte slutgiltigt, misslyckande är inte dödligt: Det är modet att fortsätta som räknas'?",Winston Churchill,ja
34,"Vem sa 'Den största faran för de flesta av oss är inte att vårt mål är för högt och vi missar det, utan att det är för lågt och vi når det'?",Michelangelo,ja
