id,Question,Answer,inkludera_i_pdf
1,Vilken brittisk rockballad från 1975 innehåller raden 'Is this the real life?' och handlar om en mördares bekännelse?,Bohemian Rhapsody,ja
2,Vilken svensk låt från 1974 med gruppen ABBA vann Eurovision Song Contest?,Waterloo,ja
3,"Vilken popsång från 1983 av Michael Jackson innehåller textraden 'Cause this is thriller, thriller night'?",Thriller,ja
4,"Vilken låt från 1991 av Nirvana börjar med textraden 'Load up on guns, bring your friends'?",Smells Like Teen Spirit,ja
5,"Vilken 1987 hit av Rick Astley är känd för sin refräng 'Never gonna give you up, never gonna let you down'?",Never Gonna Give You Up,ja
6,"Vilken låt av The Beatles från 1968 börjar med textraden 'Hey Jude, don't make it bad'?",Hey Jude,ja
7,Vilken låt av Whitney Houston från 1992 innehåller textraden 'And I will always love you'?,I Will Always Love You,ja
8,"Vilken poplåt från 2009 av Lady Gaga innehåller textraden 'Can't read my, can't read my, no he can't read my poker face'?",Poker Face,ja
9,Vilken låt från 1971 av John Lennon börjar med textraden 'Imagine there's no heaven'?,Imagine,ja
10,Vilken låt från 1965 av The Rolling Stones innehåller textraden 'I can't get no satisfaction'?,(I Can't Get No) Satisfaction,ja
11,Vilken låt från 1982 av Toto innehåller textraden 'I bless the rains down in Africa'?,Africa,ja
12,Vilken låt från 1996 av The Fugees innehåller textraden 'Strumming my pain with his fingers'?,Killing Me Softly,ja
13,Vilken 2010 hit av Katy Perry innehåller textraden 'Do you ever feel like a plastic bag'?,Firework,ja
14,"Vilken låt från 1984 av Prince innehåller textraden 'Maybe I'm just too demanding, maybe I'm just like my father'?",Purple Rain,ja
15,Vilken låt från 2004 av Green Day innehåller textraden 'Do you know what's worth fighting for?',Wake Me Up When September Ends,ja
16,Vilken låt från 1995 av Oasis innehåller textraden 'Today is gonna be the day that they're gonna throw it back to you'?,Wonderwall,ja
17,"Vilken låt från 1981 av Journey innehåller textraden 'Don't stop believin', hold on to that feelin'?",Don't Stop Believin',ja
18,Vilken låt från 1999 av Britney Spears innehåller textraden 'My loneliness is killing me'?,...Baby One More Time,ja
19,"Vilken låt från 1973 av Pink Floyd innehåller textraden 'Money, get away'?",Money,ja
20,"Vilken låt från 1977 av Queen innehåller textraden 'We are the champions, my friends'?",We Are the Champions,ja
21,"Vilken låt från 1980 av AC/DC innehåller textraden 'She was a fast machine, she kept her motor clean'?",You Shook Me All Night Long,ja
22,Vilken låt från 1992 av Red Hot Chili Peppers innehåller textraden 'Sometimes I feel like I don't have a partner'?,Under the Bridge,ja
23,"Vilken låt från 1978 av Gloria Gaynor innehåller textraden 'At first I was afraid, I was petrified'?",I Will Survive,ja
24,"Vilken låt från 1993 av Radiohead innehåller textraden 'I'm a creep, I'm a weirdo'?",Creep,ja
25,"Vilken låt från 2003 av Beyoncé innehåller textraden 'All the single ladies, all the single ladies'?",Single Ladies (Put a Ring on It),ja
26,"Vilken låt från 1985 av a-ha innehåller textraden 'Take on me, take me on'?",Take On Me,ja
27,"Vilken låt från 1984 av Bruce Springsteen innehåller textraden 'Born in the USA, I was born in the USA'?",Born in the USA,ja
28,Vilken låt från 1983 av Cyndi Lauper innehåller textraden 'Girls just wanna have fun'?,Girls Just Want to Have Fun,ja
29,"Vilken låt från 1997 av Hanson innehåller textraden 'Mmmbop, ba duba dop'?",MMMBop,ja
30,"Vilken låt från 2002 av Eminem innehåller textraden 'His palms are sweaty, knees weak, arms are heavy'?",Lose Yourself,ja
31,"Vilken låt från 1985 av Madonna innehåller textraden 'Like a virgin, touched for the very first time'?",Like a Virgin,ja
32,Vilken låt från 1995 av Coolio innehåller textraden 'As I walk through the valley of the shadow of death'?,Gangsta's Paradise,ja
33,Vilken låt från 2013 av Miley Cyrus innehåller textraden 'I came in like a wrecking ball'?,Wrecking Ball,ja
34,Vilken låt från 1966 av The Beach Boys innehåller textraden 'Wouldn't it be nice if we were older'?,Wouldn't It Be Nice,ja
