id,Question,Answer,inkludera_i_pdf
1,Vad betyder 'rigtig' på danska?,Rätt,ja
2,Hur översätts 'flink' till svenska?,Snabb eller duktig,ja
3,Vilket ord används för 'skola' på danska?,Skole,ja
4,Vad är den svenska motsvarigheten till 'ringe'?,Ringa,ja
5,Hur säger man 'jobba' på danska?,Arbejde,ja
6,Vad betyder 'barn' på danska?,Barn,nej
7,Vad är 'vejr' på svenska?,Väder,ja
8,Hur översätter man 'husk' till svenska?,Kom ihåg,ja
9,Vad heter 'mat' på danska?,Mad,ja
10,Vad betyder 'byen' på svenska?,Staden,ja
11,Vad är 'sund' på svenska?,Sund,nej
12,Vad motsvarar 'glad' på svenska?,Glad,nej
13,Hur säger man 'tack' på danska?,Tak,ja
14,Vad betyder 'dyr' på svenska?,Dyr,nej
15,Vad är 'vinter' på svenska?,Vinter,nej
16,"'Butik' på svenska, vad är det på danska?",Butik,nej
17,Vad säger man om 'roligt' på danska?,Sjovt,ja
18,Vad betyder 'morgen' på svenska?,Morgon,ja
19,Hur översätts 'ferie' till svenska?,Semestern,ja
20,Vad är svenskans 'glömma' på danska?,Glemme,ja
21,Vad heter 'elske' på svenska?,Älska,ja
22,Vad heter 'familj' på danska?,Familie,ja
23,Vad är 'dreng' på svenska?,Pojke,ja
24,Hur säger man 'liten' på danska?,Lille,ja
25,Vad betyder 'stor' på svenska?,Stor,nej
26,Vad är 'kvinde' på svenska?,Kvinna,ja
27,Hur översätts 'snakke' på svenska?,Tala,ja
28,Hvad siger man på dansk for 'hej'?,Hej,nej
29,Hur säger man 'tack' på danska?,Tak,nej
30,Hvad siger du på dansk for 'ja'?,Ja,nej
31,Vad betyder 'farvel' på svenska?,Adjö,ja
32,Hur säger man 'jag heter' på danska?,Jeg hedder,ja
33,Hvad betyder 'ven' på svenska?,Vän,ja
34,Vad är det danska ordet för 'snälla'?,Venligst,ja
35,Hvad betyder det danske ord 'morgenmad'?,Frukost,ja
36,Hvad hedder 'hund' på dansk?,Hund,nej
37,Vad betyder 'farvel' på svenska?,Adjö,nej
38,"Om en dansk säger 'tak', vad betyder det?",Tack,nej
39,'Ven' på danska betyder?,Vän,nej
40,Hvad menes med 'rødgrød' på svensk?,Rödbärskräm,nej
41,Översätt 'mad' från danska till svenska.,Mat,nej
42,Hvad betyder 'godnat' på svenska?,God natt,nej
43,Vad heter 'katt' på danska?,Kat,nej
44,Hvad betyder det danske ord 'løn' på svensk?,Lön,ja
45,Hvad betyder 'vindue' på svenska?,Fönster,ja
46,"Om någon säger 'tak' på danska, vad menar de då på svenska?",Tack,nej
47,Vad kallas 'hund' på svenska?,Hund,nej
48,Hur översätter du 'bog' till svenska?,Bok,ja
49,Vad är den svenska motsvarigheten till 'kat'?,Katt,nej
50,Vad heter 'sjov' på svenska?,Rolig,ja
51,Vilket svenskt ord motsvarar det danska 'by'?,Stad,nej
52,Vad menar man med 'blomster' på svenska?,Blommor,ja
53,Hvad betyder 'rødgrød med fløde'?,Rödgröt med grädde,nej
54,Hur översätter man 'cykel' från danska till svenska?,Cykel,nej
55,Vad är det svenska ordet för 'morgenmad' på danska?,Frukost,ja
56,Vad betyder 'frokost' på svenska?,Lunch,ja
57,Hvordan sier man 'god morgon' på dansk?,godmorgen,ja
58,Hva betyr ordet 'skole' på svensk?,skola,ja
