id,Question,Answer,inkludera_i_pdf
1,Vilken uppfinning av Johann Gutenberg revolutionerade boktryckarkonsten?,Boktryckarpressen,ja
2,Vad var det ursprungliga syftet med Coca-Cola?,Medicinsk dryck,ja
3,Vilken uppfinning introducerades av Alexander Graham Bell 1876?,Telefonen,ja
4,Vilken uppfinning gjorde Percy Spencer av misstag när han arbetade med radarutrustning?,Mikrovågsugnen,ja
5,Vad heter uppfinningen som Alfred Nobel är mest känd för?,Dynamit,ja
6,Vilken uppfinning av Karl Benz anses vara den första moderna bilen?,Benz Patent-Motorwagen,ja
7,Vilken uppfinning gjorde Willis Carrier som förändrade klimatkontrollen inomhus?,Luftkonditioneringen,ja
8,Vilken uppfinning av John Logie Baird möjliggjorde rörliga bilder på avstånd?,Televisionen,ja
9,Vem uppfann det första praktiska telefonen?,Alexander Graham Bell,ja
10,Vilken uppfinning patenterades av Nikola Tesla 1888 och revolutionerade eldistribution?,Växelströmsgenerator,ja
11,Vilken uppfinning gjorde George de Mestral efter att ha studerat kardborreblommor?,Kardborreband,ja
12,Vilken uppfinning användes först av militären för att lokalisera ubåtar men blev senare en hushållsapparat?,Mikrovågsugnen,ja
13,Vad var det ursprungliga syftet med uppfinningen av Play-Doh?,Tapetstädare,ja
14,Vilken uppfinning gjorde Louis Braille som underlättar läsning för blinda?,Brailleskrift,ja
15,Vilken uppfinning av Tim Berners-Lee revolutionerade informationsdelning på internet?,World Wide Web,ja
16,Vilket fordon utvecklades av bröderna Wright och gjorde den första framgångsrika flygningen 1903?,Flygplan,ja
17,Vilken uppfinning gjorde James Watt som förbättrade ångmaskinen?,Kondensor,ja
18,Vilken uppfinning gjorde Richard Drew som underlättade målning och maskering?,Maskeringstejp,ja
19,Vilken uppfinning utvecklade Karl Jansky som lade grunden till radioastronomi?,Radioteleskop,ja
20,Vilken uppfinning gjorde Charles Goodyear genom att vulkanisera gummi?,Gummidäck,ja
21,Vilken uppfinning gjorde Walter Hunt som fortfarande används för att fästa kläder?,Säkerhetsnål,ja
22,Vilken apparat utvecklade Edwin Land som möjliggjorde omedelbar fotografering?,Polaroidkamera,ja
23,Vilken uppfinning gjorde George Eastman som förenklade fotografering för allmänheten?,Kodakkamera,ja
24,Vilken uppfinning gjorde John Harrington som förbättrade sanitära förhållanden?,Spoltoalett,ja
25,Vilken uppfinning gjorde René Laennec som underlättade diagnos av lungsjukdomar?,Stetoskop,ja
26,Vilken uppfinning gjorde Niels Bohr inom fysiken?,Bohrs atommodell,ja
27,Vilken uppfinning gjorde Alexander Fleming som revolutionerade medicin?,Penicillin,ja
28,Vilken uppfinning gjorde Wilhelm Röntgen som möjliggör inre kroppsundersökningar?,Röntgenstrålning,ja
29,Vilken uppfinning gjorde Hedy Lamarr som förbättrade kommunikationen under andra världskriget?,Frekvenshoppning,ja
30,Vilken uppfinning gjorde Mary Anderson som är viktig för bilsäkerhet?,Vindrutetorkare,ja
31,Vilken uppfinning gjorde Earle Dickson som underlättar sårvård?,Plåster,ja
32,Vilken uppfinning tilldelades Percy Lavon Julian för att syntetisera kortison?,Syntetisk kortison,ja
33,Vilken uppfinning gjorde Johannes Gutenberg känd för?,Tryckpress,ja
34,Vilken uppfinning gjorde Bartolomeo Cristofori som används inom musik?,Pianot,ja
