id,Question,Answer,inkludera_i_pdf
1,Vad heter den italienska maträtten som görs på ris och ofta innehåller parmesanost och smör?,Risotto,ja
2,Vilken japansk maträtt består av rå fisk och serveras med ris?,Sushi,ja
3,"Vilken maträtt har köttfärs, tomatsås och pasta som huvudsakliga ingredienser?",Spaghetti Bolognese,ja
4,"Namnge den franska maträtt som görs på långkokt kött, vin och grönsaker.",Boeuf Bourguignon,ja
5,Hur kallas den spanska risrätten som ofta innehåller skaldjur och saffran?,Paella,ja
6,"Vilka wraps innehåller ofta kyckling, guacamole och salsa?",Tacos,ja
7,Vilken norsk maträtt består av torkad och saltad torsk som lutats i vatten?,Lutefisk,ja
8,Namnge den svenska kötträtt som serveras med lingonsylt och potatismos.,Köttbullar,ja
9,"Hur kallas den italienska maträtten som består av tunt skivat kött eller fisk, ofta serverad rå?",Carpaccio,ja
10,Vad heter den indiska maträtten som är grillad kyckling marinerad i yoghurt och kryddor och ofta serverad med naanbröd?,Tandoori,ja
11,Vilken maträtt består av gryta med kött och grönsaker och är en traditionell rätt på Balkan?,Gulasch,ja
12,Vilken kinesisk maträtt består av små degknyten fyllda med kött eller grönsaker och ångkokas?,Dumplings,ja
13,Hur kallas den ungerska soppa som ofta innehåller paprika och nötkött?,Gulyás,ja
14,"Namnge den mexikanska maträtten som består av tortilla fylld med bönor, ris, kött och sallad.",Burrito,ja
15,Vilken maträtt från Mellanöstern består av kikärtsbollar som friteras och serveras i pitabröd?,Falafel,ja
16,"Vad kallas den franska maträtten som består av en öppen paj med fyllning av ägg, grädde och ibland ost?",Quiche,ja
17,"Vilken amerikansk maträtt är en turkisk-inspirerad gyros ofta fylld med lamm, tomat, lök och tzatziki?",Gyro,ja
18,"Hur kallas den italienska maträtten gjord med platta pastaplattor, köttfärssås och bechamelsås?",Lasagne,ja
19,"Vilket namn har en traditionell finländsk maträtt som består av potatisbiffar, ofta serverade med lingonsylt?",Raggmunk,ja
20,Vilken maträtt från Turkiet består av tunna lager deg fyllda med kött eller spenat och ost och sedan bakade?,Börek,ja
21,"Vad heter den vietnamesiska soppa som görs på buljong, risnudlar, örter och kött?",Pho,ja
22,Vilken peruansk maträtt är en rå fisksallad marinerad i citrusjuice?,Ceviche,ja
23,Hur kallas den tyska maträtten som består av syrad kål och ofta serveras med korv eller fläskkött?,Sauerkraut,ja
24,"Vad heter den koreanska rätten som är en risdagsrätt toppad med olika grönsaker, kött och ett stekt ägg?",Bibimbap,ja
25,Vilken italiensk dessert består av savoiardikex doppade i kaffe och lager av mascarponeost?,Tiramisu,ja
26,"Vad kallas den grekiska rätten som består av lager av aubergine, köttfärs och bechamelsås?",Moussaka,ja
27,Vilken fransk maträtt består av lökbuljong och serveras med rostat bröd och smält ost på toppen?,Löksoppa,ja
28,"Hur kallas den japanska nudelsoppan med buljong, nudlar, och olika pålägg som ägg och fläsk?",Ramen,ja
29,Vilken brasiliansk rätt är en grytliknande maträtt som huvudsakligen innehåller svarta bönor och olika köttdelar?,Feijoada,ja
30,Namnge den argentinska pastarätten som ofta fylls med kött och kryddor och sedan bakas eller friteras.,Empanadas,ja
31,"Vad heter den traditionella engelska rätten som består av korv och potatismos, ofta serverad med lökgravy?",Bangers and Mash,ja
32,Vilken maträtt från Filippinerna är en gryta kokt med fläsk eller kyckling i vinäger och soja?,Adobo,ja
33,Vilken maträtt består av en blandning av ris och baljväxter och är mycket populär på den indiska subkontinenten?,Biryani,ja
34,"Vad heter den spanska kalla soppan som görs av tomater, paprika och gurka?",Gazpacho,ja
35,"Vilken maträtt består av kokt lammkött, potatis och rovor, och är en traditionell rätt i Skottland?",Haggis,ja
