id,Question,Answer,inkludera_i_pdf
1,"Vilken låt av ABBA innehåller textraden 'Dancing queen, feel the beat from the tambourine'?",Dancing Queen,ja
2,Vilken Beatles-låt innehåller raden 'Living is easy with eyes closed'?,Strawberry Fields Forever,ja
3,Vilken låt av Roxette innehåller textraden 'Listen to your heart when he's calling for you'?,Listen to Your Heart,ja
4,Vilken låt av Michael Jackson innehåller textraden 'They don't care about us'?,They Don't Care About Us,ja
5,Vilken låt av Avicii innehåller textraden 'Wake me up when it's all over'?,Wake Me Up,ja
6,Vilken låt av Robyn innehåller textraden 'Dancing on my own'?,Dancing On My Own,ja
7,Vilken låt av Kent innehåller textraden 'Du är min hjälte'?,Sverige,ja
8,Vilken låt av Veronica Maggio innehåller textraden 'Hela huset skakar nu'?,Hela Huset,ja
9,Vilken låt av Laleh innehåller textraden 'Some die young'?,Some Die Young,ja
10,Vilken låt av First Aid Kit innehåller textraden 'I’ll be your Emmylou and I’ll be your June'?,Emmylou,ja
11,Vilken låt av Håkan Hellström innehåller textraden 'Kom igen Lena'?,Kom Igen Lena,ja
12,Vilken låt av Tove Lo innehåller textraden 'I'm high all the time to keep you off my mind'?,Habits (Stay High),ja
13,"Vilken låt av Icona Pop innehåller textraden 'I don't care, I love it'?",I Love It,ja
14,Vilken låt av Zara Larsson innehåller textraden 'I will never forget you'?,Never Forget You,ja
15,Vilken låt av ABBA innehåller textraden 'The winner takes it all'?,The Winner Takes It All,ja
16,Vilken låt av Ace of Base innehåller textraden 'All that she wants is another baby'?,All That She Wants,ja
17,Vilken låt av Europe innehåller textraden 'It's the final countdown'?,The Final Countdown,ja
18,"Vilken låt av The Cardigans innehåller textraden 'Love me, love me, say that you love me'?",Lovefool,ja
19,Vilken låt av Basshunter innehåller textraden 'Boten Anna'?,Boten Anna,ja
20,Vilken låt av Avicii innehåller textraden 'So wake me up when it's all over'?,Wake Me Up,ja
21,Vilken låt av Zara Larsson innehåller textraden 'Lush life'?,Lush Life,ja
22,Vilken låt av Laleh innehåller textraden 'Some die young'?,Some Die Young,ja
23,Vilken låt av Håkan Hellström innehåller textraden 'En vän med en bil'?,En Vän Med En Bil,ja
24,Vilken låt av Kent innehåller textraden 'Utan dina andetag'?,Utan Dina Andetag,ja
25,Vilken låt av Robyn innehåller textraden 'With every heartbeat'?,With Every Heartbeat,ja
26,Vilken låt av Tove Lo innehåller textraden 'You're gone and I gotta stay high'?,Habits (Stay High),ja
27,Vilken låt av Icona Pop innehåller textraden 'I crashed my car into the bridge'?,I Love It,ja
28,Vilken låt av Ace of Base innehåller textraden 'Don't turn around'?,Don't Turn Around,ja
29,Vilken låt av ABBA innehåller textraden 'Gimme! Gimme! Gimme! (A Man After Midnight)'?,Gimme! Gimme! Gimme!,ja
30,Vilken låt av Avicii innehåller textraden 'Hey brother'?,Hey Brother,ja
31,Vilken låt av First Aid Kit innehåller textraden 'My silver lining'?,My Silver Lining,ja
32,Vilken låt av ABBA innehåller textraden 'Voulez-vous'?,Voulez-Vous,ja
33,Vilken låt av The Cardigans innehåller textraden 'Erase and rewind'?,Erase/Rewind,ja
34,Vilken låt av Ace of Base innehåller textraden 'All that she wants'?,All That She Wants,ja
