id,Question,Answer,inkludera_i_pdf
1,Från vilken film kommer citatet 'May the Force be with you'?,Star Wars,ja
2,"Vilken film innehåller citatet 'Here's looking at you, kid'?",Casablanca,ja
3,I vilken film säger karaktären 'I'm the king of the world'?,Titanic,ja
4,Vilken film har citatet 'You can't handle the truth'?,A Few Good Men,ja
5,Från vilken film är citatet 'I'll be back'?,The Terminator,ja
6,Vilken film innehåller citatet 'I see dead people'?,The Sixth Sense,ja
7,I vilken film hörs citatet 'E.T. phone home'?,E.T. the Extra-Terrestrial,ja
8,"Vilken film har citatet 'Houston, we have a problem'?",Apollo 13,ja
9,Från vilken film kommer citatet 'You talking to me'?,Taxi Driver,ja
10,Vilken film innehåller citatet 'There's no place like home'?,The Wizard of Oz,ja
11,I vilken film säger karaktären 'I am your father'?,Star Wars: The Empire Strikes Back,ja
12,"Vilken film har citatet 'Keep your friends close, but your enemies closer'?",The Godfather Part II,ja
13,Från vilken film är citatet 'Life is like a box of chocolates'?,Forrest Gump,ja
14,Vilken film innehåller citatet 'To infinity and beyond'?,Toy Story,ja
15,I vilken film hörs citatet 'I love the smell of napalm in the morning'?,Apocalypse Now,ja
16,Vilken film har citatet 'You had me at hello'?,Jerry Maguire,ja
17,"Från vilken film kommer citatet 'Elementary, my dear Watson'?",The Adventures of Sherlock Holmes,ja
18,Vilken film innehåller citatet 'I'm the king of the world'?,Titanic,ja
19,"I vilken film säger karaktären 'Hasta la vista, baby'?",Terminator 2: Judgment Day,ja
20,"Vilken film har citatet 'Carpe diem. Seize the day, boys'?",Dead Poets Society,ja
21,Från vilken film är citatet 'Show me the money'?,Jerry Maguire,ja
22,Vilken film innehåller citatet 'I'll have what she's having'?,When Harry Met Sally,ja
23,I vilken film hörs citatet 'Here's Johnny'?,The Shining,ja
24,Vilken film har citatet 'Why so serious'?,The Dark Knight,ja
25,Från vilken film kommer citatet 'You complete me'?,Jerry Maguire,ja
26,Vilken film innehåller citatet 'Say hello to my little friend'?,Scarface,ja
27,I vilken film säger karaktären 'Bond. James Bond'?,Dr. No,ja
28,Vilken film har citatet 'I'm gonna make him an offer he can't refuse'?,The Godfather,ja
29,"Vilken film innehåller citatet 'Here's looking at you, kid'?",Casablanca,ja
30,I vilken film hörs citatet 'I feel the need - the need for speed'?,Top Gun,ja
31,Vilken film har citatet 'You're gonna need a bigger boat'?,Jaws,ja

