id,Question,Answer,inkludera_i_pdf
1,Vilken maträtt består främst av ris och rå fisk?,Sushi,ja
2,"Vad heter den italienska maträtten som görs av deg, tomatsås och ost?",Pizza,ja
3,"Vilken grekisk rätt består av lagrade auberginer, köttfärs och bechamelsås?",Moussaka,ja
4,"Namnge den turkiska maträtten gjord på grillat kött, vanligen serverad med sallad i ett flatbröd.",Kebab,ja
5,"Vad kallas den thailändska maträtten med risnudlar, tofu, tamarindpasta och groddade sojabönor?",Pad Thai,ja
6,"Hur heter den mexikanska maträtten som oftast består av en tortilla fylld med kött, ost och grönsaker?",Tacos,ja
7,"Vilken japansk soppa görs av sojabönpasta, dashi-buljong och tång?",Misosoppa,ja
8,"Vad kallas den franska maträtten gjord på äggröra, riven ost, bacon och gräslök?",Omelett,ja
9,"Vilka svenska köttbullar serveras traditionellt med potatispuré, lingonsylt och gräddsås?",Köttbullar,ja
10,"Namnge den italienska pastarätten gjord med pasta, ägg, pecorinoost, guanciale och svartpeppar.",Carbonara,ja
11,Vad heter den indiska maträtten som består av kyckling tillagad i en kryddrik sås innehållandes tomater och grädde?,Butter Chicken,ja
12,"Vilken amerikansk maträtt består av en rund kotlett i ett bröd, oftast serverad med ketchup, senap och sallad?",Hamburgare,ja
13,"Vad kallas den kinesiska maträtten med degknyten som fylls med kött, grönsaker och kokas eller steks?",Dumplings,ja
14,"Hur heter den vietnamesiska soppan gjord på nudlar, buljong, örter och kött, ofta kyckling eller nöt?",Pho,ja
15,"Vilken spansk rätt består av ris, saffran och blandas ofta med skaldjur och kyckling?",Paella,ja
16,Vilken maträtt från Storbritannien består av friterad fisk och pommes frites?,Fish and Chips,ja
17,Vad heter de japanska ångkokta bollarna av bläckfisk som serveras med sås och fisktopping?,Takoyaki,ja
18,Namnge den italienska risrätten som kokas med buljong och ofta smaksätts med parmesan och vitt vin.,Risotto,ja
19,Vilken ungersk gryta är känd för att vara kryddad med paprika och innehålla kött och potatis?,Gulasch,ja
20,Vad heter den filippinska maträtten som består av kyckling eller fläskkokt i soja och vinäger?,Adobo,ja
21,"Vilken koreansk rätt består av ris, kött, olika typer av grönsaker och ofta ett stekt ägg på toppen?",Bibimbap,ja
22,Vad kallas den brasilianska grytan som görs av svarta bönor och olika köttstycken?,Feijoada,ja
23,Namnge den franska soppa som är gjord på mixade grönsaker och ofta grädde.,Potage,ja
24,"Vad heter den thailändska maträtten med kryddig kokosmjölk, kyckling, och limeblad?",Tom Kha Gai,ja
25,Vilken australiensisk paj är fylld med kött och ofta serverad med ketchup?,Köttfärspaj,ja
26,Namnge den spanska kalla tomat- och grönsakssoppa som ofta serveras på sommaren.,Gazpacho,ja
27,"Vad kallas den italienska desserten gjord av mascarpone, kaffe, kakao och kex?",Tiramisu,ja
28,"Vad heter den svenska maträtten med gratinerade potatisskivor, lök, ansjovis och grädde?",Janssons frestelse,ja
29,"Vilken irländsk gryta görs på kött, öl, och rotfrukter?",Irish Stew,ja
30,Hur kallar man den koreanska fermenterade kålsalladen som ofta är mycket kryddig?,Kimchi,ja
31,Namnge den peruanska rätt som består av rå fisk marinerad i citronsaft och kryddor.,Ceviche,ja
32,"Vad heter den tunisisk maträtt gjord på semolina, lammkött och grönsaker?",Couscous,ja
33,Vilken italiensk maträtt görs av ett stort platt pastablad fyllt med ricotta och spenat?,Cannelloni,ja
34,Vad kallas den ryska rödbetssoppan ofta serverad med gräddfil?,Borsjtj,ja
