id,Question,Answer,inkludera_i_pdf
1,Vilket torg är Malmös äldsta?,Stortorget,ja
2,Vilken park är känd för sin skulpturpark?,Slottsparken,ja
3,Vilken stadsdel är Malmös största?,Rosengård,ja
4,Vilken bro förbinder Malmö med Köpenhamn?,Öresundsbron,ja
5,Vad heter Malmös största shoppingcenter?,Emporia,ja
6,Vart ligger Turning Torso?,Västra Hamnen,ja
7,Vilket museum ligger i Malmöhus slott?,Malmö Museer,ja
8,Vilken gata är känd för sitt uteliv och restauranger?,Lilla Torg,ja
9,Vad heter Malmös centralstation?,Malmö C,ja
10,Vilken park ligger nära Pildammsparken?,Kungsparken,ja
11,Vilket torg är känt för sin saluhall?,Möllevångstorget,ja
12,Vilken strand är populär i Malmö?,Ribersborg,ja
13,Vad heter Malmös stora idrottsarena?,Malmö Arena,ja
14,Vilken stadsdel är känd för sin internationella matmarknad?,Möllevången,ja
15,Vilken gata är känd för sina exklusiva butiker?,Södra Förstadsgatan,ja
16,Vilken park ligger nära Gustav Adolfs torg?,Slottsparken,ja
17,Vilken byggnad är den högsta i Malmö?,Turning Torso,ja
18,Vilken stadsdel är känd för sin moderna arkitektur?,Västra Hamnen,ja
19,Vilket torg är känt för sina uteserveringar?,Lilla Torg,ja
20,Vad heter Malmös äldsta kyrka?,Sankt Petri kyrka,ja
21,Vilken stadsdel är känd för sin studentkultur?,Sorgenfri,ja
22,Vilken park är känd för sina vattenfåglar?,Pildammsparken,ja
23,Vilken gata är känd för sina kaféer och barer?,Davidshallsgatan,ja
24,Vad heter Malmös mest centrala torg?,Gustav Adolfs torg,ja
25,Vilken stadsdel ligger närmast Öresundsbron?,Hyllie,ja
26,Vilken park är känd för sina stora gräsmattor och dammar?,Pildammsparken,ja
27,Vilken gata är känd för sin konstnärliga atmosfär?,Friisgatan,ja
28,Vad heter Malmös största bibliotek?,Stadsbiblioteket,ja
29,Vilken stadsdel är känd för sitt kulturcentrum?,Folkets Park,ja
30,Vilken gata är känd för sina second-hand butiker?,Södra Förstadsgatan,ja
31,Vad heter Malmös största sjukhus?,Skånes universitetssjukhus,ja
32,Vilken stadsdel är känd för sina koloniträdgårdar?,Seved,ja
33,Vilken park är känd för sina rosenträdgårdar?,Kungsparken,ja
34,Vilken gata är känd för sina nattklubbar?,Bergsgatan,ja
