id,Question,Answer,inkludera_i_pdf
1,Vid vilken sjö ligger Linköping?,Roxen,ja
2,Vilken stadsdel är känd för sitt universitet?,Valla,ja
3,Vilken industrijätte har sitt huvudkontor i Linköping?,Saab,ja
4,Vad heter det stora köpcentrumet i Tornby?,Ikanohuset,ja
5,Vilken stadsdel är känd för sitt stora sjukhus?,US,ja
6,Vad heter universitetet i Linköping?,LiU,ja
7,Vilken gata är känd som en stor shoppinggata i centrum?,Stora Torget,ja
8,Vilken park är känd för sina stora grönytor och evenemang?,Trädgårdsföreningen,ja
9,Vad kallas Linköpings luftfartsmuseum?,Flygvapenmuseum,ja
10,Vilken stadsdel är känd för sitt stora industriområde?,Tornby,ja
11,Vad heter den stora kyrkan i centrum?,Domkyrkan,ja
12,Vilket år grundades Linköpings universitet?,1975,ja
13,Vilken stadsdel är känt för sitt slott?,Ekenäs,ja
14,Vad heter Linköpings största arena?,Saab Arena,ja
15,Vilken stadsdel ligger nära Gamla Linköping?,Valla,ja
16,Vad heter den stora bron som går över Stångån?,Bergsbron,ja
17,Vilken stadsdel är känd för sina studentbostäder?,Ryd,ja
18,Vilket universitetssjukhus ligger i Linköping?,US,ja
19,Vad heter den stora sjön norr om Linköping?,Roxen,ja
20,Vilken stadsdel är känd för sin forskningspark?,Mjärdevi,ja
21,Vilken stadsdel ligger närmast Linköpings centralstation?,Vasastaden,ja
22,Vad heter det stora biblioteket i Linköping?,Stadsbiblioteket,ja
23,Vilken stadsdel är känd för sitt stora köpcentrum?,Tornby,ja
24,Vilken stadsdel är känd för sitt universitetssjukhus?,US,ja
25,Vad heter den stora parken i centrala Linköping?,Trädgårdsföreningen,ja
26,Vilken stadsdel är känd för sitt flygvapenmuseum?,Malmslätt,ja
27,Vad heter den stora flygplatsen i Linköping?,Saab,ja
28,Vilken stadsdel är känd för sitt stora nöjesfält?,Berg,ja
29,Vad heter den stora arenan för ishockey i Linköping?,Saab Arena,ja
30,Vilken stadsdel är känd för sitt stora sportcenter?,Ryd,ja
31,Vad heter Linköpings största torg?,Stora Torget,ja
32,Vilken stadsdel är känd för sitt universitet?,Valla,ja
33,Vad heter den stora bron över Motala ström?,Bergsbron,ja
34,Vilken stadsdel är känd för sitt stora universitetssjukhus?,US,ja
