id,Question,Answer,inkludera_i_pdf
1,Vilken 80-talsserie handlar om en pratande bil vid namn KITT?,Knight Rider,ja
2,"Vilket yrke hade huvudkaraktären i serien 'Magnum, P.I.'?",Privatdetektiv,ja
3,Vilken serie följde familjen Keaton och deras liv?,Family Ties,ja
4,Vad hette den utomjordiska varelsen i serien 'Alf'?,Alf,ja
5,Vilken komediserie utspelade sig på en polisstation i New York?,Barney Miller,ja
6,Namnge den advokatbaserade dramaserien med Harry Hamlin och Susan Dey.,L.A. Law,ja
7,Vilken serie handlade om Vietnamkriget och följde en grupp soldater?,Tour of Duty,ja
8,Vilken serie handlade om en kvinna som arbetade som journalist och hette Murphy Brown?,Murphy Brown,ja
9,Vilket yrke hade huvudkaraktären i serien 'Moonlighting' som spelades av Bruce Willis?,Privatdetektiv,ja
10,Vad hette den lilla robotflickan i serien 'Small Wonder'?,Vicki,ja
11,Vilket rymdskepp reste genom universum i serien 'Battlestar Galactica'?,Galactica,ja
12,Vilken serie följde livet på en brandstation i Los Angeles?,Emergency!,ja
13,"Vad hette läkaren som spelades av Tom Selleck i serien 'Magnum, P.I.'?",Magnum,ja
14,Vilken karaktär spelades av David Hasselhoff i 'Knight Rider'?,Michael Knight,ja
15,Vilken serie handlade om en grupp unga läkare på ett sjukhus i Chicago?,St. Elsewhere,ja
16,Vilka var huvudkaraktärerna i serien 'The A-Team'?,"Hannibal, Face, Murdock, B.A.",ja
17,Vilket polisdistrikt utspelade sig serien 'Hill Street Blues' i?,Hill Street,ja
18,Vilken 80-talsserie följde livet för en advokatfirma i Boston?,Boston Legal,ja
19,Vilken serie handlade om en man som kunde förvandlas till olika djur?,Manimal,ja
20,Vad hette den lilla roboten i serien 'Buck Rogers in the 25th Century'?,Twiki,ja
21,Vilken serie handlade om en man som reste genom tiden och ändrade historien?,Quantum Leap,ja
22,Vilken serie följde livet för en advokatfirma i Los Angeles?,L.A. Law,ja
23,Vad hette huvudkaraktären i serien 'MacGyver'?,MacGyver,ja
24,Vilken serie handlade om en rik oljefamilj i Texas?,Dallas,ja
25,Vilken serie följde livet på en militärbas i Vietnam under kriget?,China Beach,ja
26,Vilken serie handlade om en familj som flyttade till en liten stad för att starta ett nytt liv?,Little House on the Prairie,ja
27,Vad hette advokaten som spelades av Andy Griffith i serien 'Matlock'?,Ben Matlock,ja
28,Vilken serie handlade om en grupp tonåringar som löste mysterier i en småstad?,Scooby-Doo,ja
29,Vilken serie handlade om en läkare som arbetade på ett mobilt armésjukhus under Koreakriget?,M*A*S*H,ja
30,Vilken serie handlade om en ung läkare som arbetade på ett sjukhus i en liten stad?,"Doogie Howser, M.D.",ja
31,Vilken serie handlade om en rik familj och deras tjänare i New York?,The Jeffersons,ja
32,Vad hette huvudkaraktären i serien 'Cheers' som ägde baren?,Sam Malone,ja
33,Vilken serie handlade om en advokat som försvarade oskyldigt anklagade klienter?,Perry Mason,ja
34,Vad hette huvudkaraktären i serien 'The Dukes of Hazzard'?,Bo Duke,ja
