id,Question,Answer,inkludera_i_pdf
1,Vilken rörmokare är huvudpersonen i Nintendos mest kända spelserie?,Mario,ja
2,Vilket år släpptes det första spelet i serien 'The Legend of Zelda'?,1986,ja
3,Vad heter prinsessan som ofta behöver räddas av Mario?,Peach,ja
4,Vilken grön dinosaurie är Marios följeslagare?,Yoshi,ja
5,Namnet på Marios bror som också är en rörmokare?,Luigi,ja
6,Vad heter Nintendos kända racing-spel där man kör gokart?,Mario Kart,ja
7,Vilken hjälte bär en grön tunika och en hatt i 'The Legend of Zelda'?,Link,ja
8,"Vilket år släpptes Nintendos första konsol, NES, i Japan?",1983,ja
9,Vad heter den rosa figuren som kan inhalera fiender i ett Nintendo-spel?,Kirby,ja
10,Vilket spel introducerade karaktären Donkey Kong?,Donkey Kong,ja
11,Vad heter Marios ärkefiende som ofta kidnappar prinsessan Peach?,Bowser,ja
12,I vilket spel måste man samla tre gyllene trianglar som kallas Triforce?,The Legend of Zelda,ja
13,Vilket Nintendo-spel inkluderar en fighter vid namn Samus Aran?,Metroid,ja
14,Vilken konsol lanserades av Nintendo år 2006 med rörelsekänslig kontroll?,Wii,ja
15,Vad heter den blå igelkotten som är en ikonisk karaktär i Segas spel?,Sonic,ja
16,Vilket spel innefattar att man ska samla stjärnor för att besegra Bowser?,Super Mario 64,ja
17,Vad heter den populära Nintendo-konsolen som släpptes 2017?,Switch,ja
18,Vilket år släpptes 'Super Mario Bros.' till NES?,1985,ja
19,Vad heter den rymdjägare som är huvudpersonen i Metroid-serien?,Samus,ja
20,Vilken Nintendo-serie handlar om att samla och träna fickmonster?,Pokémon,ja
21,Vilket spel introducerade karaktären Wario?,Super Mario Land 2,ja
22,I vilket spel kan man använda en kraft som kallas 'Falcon Punch'?,Super Smash Bros.,ja
23,Vad heter ön där Link vaknar upp i 'Link's Awakening'?,Koholint,ja
24,Vilket spel är känt för sin 'Master Sword' och 'Hylian Shield'?,The Legend of Zelda,ja
25,Vad heter den lilla elektriska musen som är maskot för Pokémon-serien?,Pikachu,ja
26,Vilken konsol var den första att använda CD-skivor istället för kassetter?,GameCube,ja
27,Vilket spel är känt för sin 'Rainbow Road' bana?,Mario Kart,ja
28,Vad heter den lilla staden där Animal Crossing utspelar sig?,Village,ja
29,Vilken Nintendo-karaktär är känd för att bära en grön keps med bokstaven 'L'?,Luigi,ja
30,Vilket spel utspelar sig på planeten Zebes?,Metroid,ja
31,Vilket spel innehåller en bana som heter 'Hyrule Castle'?,The Legend of Zelda,ja
32,I vilket Nintendo-spel slåss man mot Ganon?,The Legend of Zelda,ja
33,Vilken Nintendo-karaktär är känd för sitt svärd och sin sköld?,Link,ja
34,Vilket spel inkluderar en karaktär som heter Fox McCloud?,Star Fox,ja
35,Vad heter spelet där man spelar som en bläckfiskliknande karaktär och tävlar i färgkrig?,Splatoon,ja
