id,Question,Answer,inkludera_i_pdf
1,Vilken stor park ligger mitt i centrala Göteborg och är känd för sina evenemang och nöjespark?,Liseberg,ja
2,Vilken stadsdel i Göteborg är känd för sina pittoreska trähus och kullerstensgator?,Haga,ja
3,Vad heter bron som förbinder fastlandet med Hisingen?,Älvsborgsbron,ja
4,Vilken gata i Göteborg är känd för sin shopping och sträcker sig från Kungsportsplatsen till Avenyn?,Kungsgatan,ja
5,Vilken ö i Göteborgs skärgård är känd för sina vackra klippor och badplatser?,Brännö,ja
6,Vad heter Göteborgs centralstation?,Centralstationen,ja
7,Vilken stor park i Göteborg är känd för sina botaniska trädgårdar och slingrande gångvägar?,Slottsskogen,ja
8,Vad heter den stora hamnen i Göteborg som är en av Nordens största?,Göteborgs hamn,ja
9,Vilken stadsdel i Göteborg är känd för sitt universitet och många studenter?,Lindholmen,ja
10,Vilket område i Göteborg är känt för sin moderna arkitektur och teknikpark?,Lindholmen Science Park,ja
11,Vad heter den stora arenan i Göteborg där många konserter och sportevenemang hålls?,Scandinavium,ja
12,Vilken gata i Göteborg är känd för sina många restauranger och nattliv?,Avenyn,ja
13,Vilken park i Göteborg är känd för sina många lekplatser och djur?,Slottsskogen,ja
14,Vad heter det stora köpcentret i Göteborg som ligger vid Korsvägen?,Nordstan,ja
15,Vilken känd byggnad i Göteborg har formen av en röd och vit skyskrapa?,Läppstiftet,ja
16,Vilken stadsdel i Göteborg är känd för sin stora industriområde och hamn?,Hisingen,ja
17,Vad heter den populära badplatsen som ligger vid havet i Göteborg?,Saltholmen,ja
18,Vilken park i Göteborg är känd för sina stora gräsytor och evenemang som Way Out West?,Slottskogen,ja
19,Vad heter den stora aveny som går genom centrala Göteborg och är känd för sina affärer och restauranger?,Kungsportsavenyen,ja
20,Vilken stadsdel i Göteborg är känd för sina många små butiker och kaféer?,Magasinsgatan,ja
21,Vilken känd bro i Göteborg är målad i blått och gult?,Götaälvbron,ja
22,Vad heter det stora museet i Göteborg som är känt för sina konstutställningar?,Göteborgs konstmuseum,ja
23,Vilket område i Göteborg är känt för sin stora hamn och sitt industriella landskap?,Masthuggskajen,ja
24,Vilken park i Göteborg är känd för sina magnifika rosenträdgårdar?,Trädgårdsföreningen,ja
25,Vilken stadsdel i Göteborg är känd för sina höga hus och moderna arkitektur?,Lindholmen,ja
26,Vad heter den stora saluhallen i Göteborg där man kan köpa färska råvaror och delikatesser?,Saluhallen,ja
27,Vilken stor idrottsanläggning i Göteborg är känd för sina fotbollsmatcher?,Ullevi,ja
28,Vilken stadsdel i Göteborg är känd för sitt stora utbud av restauranger och kaféer?,Kungsport,ja
29,Vad heter den stora parken i Göteborg som är känd för sina botaniska trädgårdar?,Botaniska trädgården,ja
30,Vilken känd gata i Göteborg är känd för sina många små butiker och kaféer?,Haga Nygata,ja
31,Vad heter den stora nöjesparken i Göteborg som är känd för sina åkattraktioner?,Liseberg,ja
32,Vilken stadsdel i Göteborg är känd för sina många parker och grönområden?,Majorna,ja
33,Vad heter den stora marknaden i Göteborg som hålls varje lördag?,Kungstorget,ja
34,Vilken känd byggnad i Göteborg har en utsiktsplats som erbjuder en fantastisk vy över staden?,Göteborgs Utkiken,ja
