id,Question,Answer,inkludera_i_pdf
1,Vilken sjö i Skottland sägs innehålla ett förhistoriskt monster?,Loch Ness,ja
2,Vad kallas den mystiska försvinnande platsen i Bermuda?,Bermudatriangeln,ja
3,I vilket land ligger den mystiska staden Machu Picchu?,Peru,ja
4,Vilket land är hem till den mystiska stenen Stonehenge?,England,ja
5,Vilken ö är känd för sina gigantiska stenstatyer kallade Moai?,Påskön,ja
6,Vad heter den mystiska försvinnande staden i Saharaöknen?,Atlantis,ja
7,Vilken amerikansk delstat är hem till det mystiska området Area 51?,Nevada,ja
8,Vad kallas de mystiska linjerna i den peruanska öknen som föreställer djur och figurer?,Nazcalinjerna,ja
9,Vilket berg anses vara en mystisk plats där det sägs att UFO:n ofta observeras?,Mount Shasta,ja
10,Vilken skog i Rumänien är känd för sina mystiska och oförklarliga fenomen?,Hoia Baciu,ja
11,Vilken stad är känd för sina mystiska underjordiska katakomber?,Paris,ja
12,Vad heter den mystiska ön där det sägs finnas en förbannelse och en skatt?,Oak Island,ja
13,Vilken plats är känd för sina mystiska och oförklarliga ljusfenomen i USA?,Marfa Lights,ja
14,Vilken ö är känd för sin mystiska försvinnande koloni på 1500-talet?,Roanoke,ja
15,Vilken stad i Turkiet är känd för sina underjordiska städer?,Derinkuyu,ja
16,Vad kallas den mystiska platsen i Arizona där det sägs finnas en port till en annan dimension?,Sedona,ja
17,Vad heter klippformationen i Australien som är en helig plats för aboriginerna?,Uluru,ja
18,Vilken plats i Storbritannien är känd för sina mystiska crop circles?,Wiltshire,ja
19,Vilken sjö i Ryssland sägs ha en mystisk undervattensstad?,Baikalsjön,ja
20,Vilken ö kallas ibland för 'världens mest isolerade befolkade ö' och är känd för sina mystiska statyer?,Påskön,ja
21,Vilken byggnad i New York är känd för sina mystiska och kusliga historier?,Dakota Building,ja
22,Vilket slott i Skottland sägs vara hemsökt av flera spöken?,Edinburgh Castle,ja
23,Vad kallas den mystiska platsen i Mexiko känd för sina flygande häxor?,La Rumorosa,ja
24,Vilken mystisk plats i Indien är känd för sina självlysande stenformationer?,Kuldhara,ja
25,Vad heter den japanska skogen som är känd för sina mystiska och tragiska händelser?,Aokigahara,ja
26,Vilken europeisk stad är känd för sina mystiska och underjordiska tunnlar?,Budapest,ja
27,Vilken byggnad i Prag är känd för sina mystiska och kusliga historier?,Pragborgen,ja
28,Vad kallas den mystiska platsen i Kanada där det sägs att folk försvinner spårlöst?,Nahanni-dalen,ja
29,Vilken plats i Israel är känd för sina mystiska och heliga egenskaper?,Jerusalem,ja
30,Vilken ö i Grekland är känd för sin mystiska försvunna civilisation?,Santorini,ja
31,Vad heter den mystiska platsen i Egypten som är känd för sina gigantiska statyer och tempel?,Abu Simbel,ja
32,Vilken sjö i Afrika sägs innehålla en mystisk vattenvarelse?,Tanganyikasjön,ja
33,Vilken plats i Norge är känd för sina mystiska och oförklarliga ljusfenomen?,Hessdalen,ja
34,Vad heter den mystiska platsen i Kina där det sägs att folk blir äldre långsammare?,Bama,ja
