id,Question,Answer,inkludera_i_pdf
1,Vilken dansk motsvarighet finns till det svenska ordet 'flicka'?,pige,ja
2,Vad heter 'pojke' på danska?,dreng,ja
3,Vilket danskt ord motsvarar det svenska ordet 'potatis'?,kartoffel,ja
4,Namnge det danska ordet för 'matbutik'.,supermarked,ja
5,Hur säger man 'katt' på danska?,kat,ja
6,Vad är den danska motsvarigheten till det svenska ordet 'hund'?,hund,ja
7,Vilket danskt ord betyder 'bil'?,bil,ja
8,Vad heter 'fönster' på danska?,vindue,ja
9,Vilket danskt ord motsvarar det svenska ordet 'frukost'?,morgenmad,ja
10,Vad är det danska ordet för 'trädgård'?,have,ja
11,Hur säger man 'lärare' på danska?,lærer,ja
12,Vad heter 'läkare' på danska?,læge,ja
13,Vilket danskt ord betyder 'hus'?,hus,ja
14,Vad är den danska motsvarigheten till det svenska ordet 'skola'?,skole,ja
15,Vilket danskt ord motsvarar det svenska ordet 'köttbullar'?,frikadeller,ja
16,Namnge det danska ordet för 'fisk'.,fisk,ja
17,Hur säger man 'bröd' på danska?,brød,ja
18,Vad heter 'mjölk' på danska?,mælk,ja
19,Vilket danskt ord betyder 'ost'?,ost,ja
20,Vad är det danska ordet för 'kaffe'?,kaffe,ja
21,Hur säger man 'vatten' på danska?,vand,ja
22,Vad heter 'öl' på danska?,øl,ja
23,Vilket danskt ord motsvarar det svenska ordet 'godis'?,slik,ja
24,Vad är den danska motsvarigheten till det svenska ordet 'glad'?,glad,ja
25,Vilket danskt ord betyder 'vacker'?,smuk,ja
26,Vad heter 'stor' på danska?,stor,ja
27,Hur säger man 'liten' på danska?,lille,ja
28,Vad är den danska motsvarigheten till det svenska ordet 'snabb'?,hurtig,ja
29,Vilket danskt ord betyder 'långsam'?,langsom,ja
30,Vad heter 'vinter' på danska?,vinter,ja
31,Hur säger man 'sommar' på danska?,sommer,ja
32,Vad är det danska ordet för 'vår'?,forår,ja
33,Vilket danskt ord motsvarar det svenska ordet 'höst'?,efterår,ja
34,Vad heter 'måndag' på danska?,mandag,ja
