id,Question,Answer,inkludera_i_pdf
1,Vilken typ av hatt bar Abraham Lincoln ofta?,Cylinderhatt,ja
2,Vad för hatt var Napoleon Bonaparte känd för att bära?,Bicorne,ja
3,Vilken hatt hade Winston Churchill ofta på sig?,Homburghatt,ja
4,Vilken typ av huvudbonad bar Che Guevara?,Basker,ja
5,Vilken hatt är Charlie Chaplin känd för?,Kub,ja
6,Vad för hatt hade Sherlock Holmes på sig enligt berättelserna?,Deerstalker,ja
7,Vilken typ av hatt bar Mahatma Gandhi ofta?,Turban,ja
8,Vad för hatt var Michael Jackson känd för att bära?,Fedora,ja
9,Vilken huvudbonad bar Fidel Castro ofta?,Militärkeps,ja
10,Vad för hatt bar Coco Chanel ibland?,Clochehatt,ja
11,Vilken hatt var John Wayne känd för att bära i sina filmer?,Cowboyhatt,ja
12,Vilken hatt hade Jackie Kennedy på sig under JFK:s invigning?,Pillbox,ja
13,Vilken typ av hatt är Al Capone ofta avbildad med?,Fedora,ja
14,Vad för hatt bar Maria Stuart ofta?,French hood,ja
15,Vilken hatt bar Salvador Dali ibland?,Basker,ja
16,Vad för hatt använde Theodore Roosevelt ofta?,Pith helmet,ja
17,Vilken typ av huvudbonad bar Florence Nightingale?,Hätta,ja
18,Vilken hatt är Humphrey Bogart känd för att bära i 'Casablanca'?,Fedora,ja
19,Vad för huvudbonad bar Otto von Bismarck ofta?,Pickelhaube,ja
20,Vilken hatt bär Indiana Jones i filmerna?,Fedora,ja
21,Vad för hatt hade George Washington på sig vid sin invigning?,Tricorn,ja
22,Vilken hatt bar Grace Kelly vid sitt bröllop?,Tiara,ja
23,Vad för hatt använde Mata Hari ofta?,Turban,ja
24,Vilken huvudbonad bar Geronimo ofta?,Fjäderprydd huvudbonad,ja
25,Vilken hatt är Annie Oakley känd för att bära?,Cowboyhatt,ja
26,Vad för hatt bar Amelia Earhart ofta?,Flygmössa,ja
27,Vilken huvudbonad bar Rasputin ibland?,Basker,ja
28,Vad för hatt bar Mata Hari ofta?,Turban,ja
29,Vilken typ av hatt är Robin Hood ofta avbildad med?,Fjäderhatt,ja
30,Vilken typ av hatt bar Karl Marx ofta?,Cylinderhatt,ja
31,Vad för hatt bar Winston Churchill under andra världskriget?,Homburghatt,ja
32,Vilken hatt är Sherlock Holmes känd för att bära?,Deerstalker,ja
33,Vilken typ av hatt är Margaret Thatcher känd för att bära?,Pillbox,ja
34,Vilken typ av hatt bar Napoleon Bonaparte ofta?,Bicorne,ja
35,Vilken hatt är Winston Churchill känd för att bära?,Bowlerhatt,ja
36,Vilken hatt förknippas med Abraham Lincoln?,Cylinderhatt,ja
37,Vilken typ av huvudbonad bar Mahatma Gandhi ofta?,Turban,ja
38,Vilken hatt bar Che Guevara ofta på sina resor?,Basker,ja
39,Vilken hatt var drottning Elizabeth I känd för att bära?,Frisad,ja
40,Vilken typ av hatt förknippas med Theodore Roosevelt under hans äventyr?,Safarihatt,ja
41,Vilken hatt är Charlie Chaplin känd för att bära i sina filmer?,Kub,ja
42,Vilken huvudbonad förknippas med Fidel Castro?,Militärkeps,ja
43,Vilken typ av hatt bar Sherlock Holmes ofta i berättelserna?,Deerstalker,ja
