id,Question,Answer,inkludera_i_pdf
1,Vad betyder det danska ordet 'hyggelig' på svenska?,Mysig,ja
2,Hur säger man 'god morgon' på danska?,God morgen,ja
3,Vilket danskt ord motsvarar det svenska 'fönster'?,Vindue,ja
4,Vad heter huvudstaden i Danmark?,Köpenhamn,ja
5,Hur säger man 'tack' på danska?,Tak,ja
6,Vad betyder det danska ordet 'rødgrød'?,Rödgröt,ja
7,Vad heter Danmark på danska?,Danmark,ja
8,Vilken är den danska motsvarigheten till 'kanelbulle'?,Kanelsnegl,ja
9,Hur säger man 'hej' på danska?,Hej,ja
10,Vad betyder det danska ordet 'smørrebrød'?,Smörrebröd,ja
11,Vad kallas julen på danska?,Jul,ja
12,Vilket danskt ord motsvarar det svenska 'bibliotek'?,Bibliotek,ja
13,Hur säger man 'snälla' på danska?,Venligst,ja
14,Vad betyder det danska ordet 'fløde'?,Grädde,ja
15,Vem är känd som den danska sagoförfattaren?,H.C. Andersen,ja
16,Vad heter Danmarks största ö?,Själland,ja
17,Hur säger man 'ja' på danska?,Ja,ja
18,Vad betyder det danska ordet 'hus'?,Hus,ja
19,Vad kallas midsommar på danska?,Sankt Hans,ja
20,Vilket danskt ord motsvarar det svenska 'skulle'?,Ville,ja
21,Hur säger man 'kärlek' på danska?,Kærlighed,ja
22,Vad betyder det danska ordet 'cykel'?,Cykel,ja
23,Vilken högtid firas den 25 december i Danmark?,Juldagen,ja
24,Hur säger man 'bra' på danska?,Godt,ja
25,Vad betyder det danska ordet 'løve'?,Lejon,ja
26,Vad heter Danska kronan på danska?,Dansk krone,ja
27,Hur säger man 'vän' på danska?,Ven,ja
28,Vad betyder det danska ordet 'barn'?,Barn,ja
29,Vem var drottning av Danmark 2023?,Margrethe II,ja
30,Hur säger man 'alltid' på danska?,Altid,ja
31,Vad betyder det danska ordet 'regn'?,Regn,ja
32,Vad heter det danska språket på danska?,Dansk,ja
33,Hur säger man 'tid' på danska?,Tid,ja
34,Vad betyder det danska ordet 'kage'?,Kaka,ja
