id,Question,Answer,inkludera_i_pdf
1,Vad innebär det danska uttrycket 'at smide tøjlerne' på svenska?,Att släppa kontrollen,ja
2,Hur översätter man 'hygge' till svenska?,Mys,ja
3,Vad betyder det danska ordet 'skov' på svenska?,Skog,ja
4,Vilken svensk motsvarighet har det danska ordet 'fløde'?,Grädde,ja
5,Vad syftar man på i Danmark med 'en rugbrødsmad'?,En smörgås med rågbröd,ja
6,Hur säger man 'löjligt' på danska?,fjollet,ja
7,Vad betyder det danska uttrycket 'gå på trapperne'?,att vara på gång,ja
8,Identifiera det danska ordet för 'skoskav'.,skavsår,ja
9,Det svenska ordet 'barn' har en dansk korrespondent som också betyder 'barnalder'. Vad är det?,barnedåb,ja
10,Vilket svenskt ord motsvarar danskans 'morgenbrød'?,frukostbröd,ja
11,Vad betyder det danska ordet 'rart' på svenska?,Trevligt,ja
12,Hur översätts det svenska uttrycket 'att vara på väg' till danska?,At være på vej,ja
13,Vad är den svenska motsvarigheten till det danska ordet 'flødebolle'?,Gräddbulle,ja
14,Vad betyder det danska uttrycket 'gå amok' på svenska?,Gå bärsärk,ja
15,Hur säger man 'jordgubbe' på danska?,Jordbær,ja
16,Vad betyder det danska ordet 'hyggelig' på svenska?,Mysig,ja
17,Hur skulle en dansk säga 'Jag är hungrig'?,Jeg er sulten,ja
18,Vilket uttryck används i Danmark för 'tack så mycket'?,Mange tak,ja
19,Vad betyder 'sjov' på svenska?,Rolig,ja
20,Hur skulle en dansk beskriva något som är dyrt?,Dyr,ja
21,Vad betyder det danska ordet 'hyggelig' på svenska?,Mysig,ja
22,Hur översätts den danska frasen 'at tage en lur'?,Ta en tupplur,ja
23,Vad syftar danska uttrycket 'det er lige i øjet' på?,Perfekt,ja
24,Vad menas med 'flødebolle' på danska?,Skumboll,ja
25,Vilket djur är 'en skildpadde' på svenska?,Sköldpadda,ja
26,Vad betyder det danska ordet 'hyggelig' på svenska?,Mysig,ja
27,Hur översätter man det danska uttrycket 'tømmermænd' till svenska?,Baksmälla,ja
28,Vilken svensk maträtt motsvaras av den danska 'frikadeller'?,Köttbullar,ja
29,"Vilket ord används på danska för kanelbullar, som på svenska heter kanelbullar?",Kanelsnegle,ja
30,Vad är en 'rødgrød med fløde' på svenska?,Rödgröt med grädde,ja
31,Vad betyder det danska uttrycket 'at tage tyren ved hornene'?,Ta tjuren vid hornen,ja
32,Hur översätter man det danska ordet 'grønthandler' till svenska?,Grönsakshandlare,ja
33,"Om en dansk säger 'Jeg er sulten som en ulv', hur skulle en svensk uttrycka samma sak?",Hungrig som en varg,ja
34,Vad betyder 'smørrebrød' på svenska?,Smörrebröd,ja
