id,Question,Answer,inkludera_i_pdf
1,Vilken kung inledde 30-åriga kriget för Sveriges del?,Gustav II Adolf,ja
2,Vad hette Sveriges första kvinnliga statsminister?,Magdalena Andersson,ja
3,När skedde slaget vid Lützen?,1632,ja
4,Vem är känd som 'Lejonet från Norden'?,Gustav II Adolf,ja
5,Vilket år blev Sverige medlem i EU?,1995,ja
6,Vad hette Sveriges sista drottning före drottning Silvia?,Louise,ja
7,Vem var Sveriges första Nobelpristagare i litteratur?,Selma Lagerlöf,ja
8,När började Stockholms blodbad?,1520,ja
9,Vilken händelse inträffade 6 juni 1523?,Gustav Vasa blev kung,ja
10,Vad hette Sveriges första kvinnliga partiledare?,Karin Söder,ja
11,Vilket år avskaffades dödsstraffet för brott i fredstid i Sverige?,1921,ja
12,Vad hette Sveriges första mänskliga oskadade satellit?,Viking,ja
13,När antogs Sverige sin nuvarande grundlag?,1974,ja
14,Vem var Sveriges statsminister under andra världskriget?,Per Albin Hansson,ja
15,Vilket år införde Sverige allmän rösträtt för kvinnor?,1921,ja
16,Vilken fred satte punkt för det stora nordiska kriget?,Freden i Nystad,ja
17,Vad heter Sveriges största slott?,Stockholms slott,ja
18,Vilken kung kallas även 'Gråkappan'?,Karl XI,ja
19,När grundades Karolinska Institutet i Stockholm?,1810,ja
20,Vilken känd svensk diplomat räddade tusentals judar i Ungern?,Raoul Wallenberg,ja
21,Vilka två språk är officiella i Sverige?,Svenska och finska,ja
22,Namnge den svenska marinfartyg som sjönk på sin jungfruresa 1628.,Vasa,ja
23,Vad hette Sveriges första socialdemokratiska statsminister?,Hjalmar Branting,ja
24,"Vem skrev 'Du gamla, du fria'?",Richard Dybeck,ja
25,Vilken tysk-svensk skådespelare föddes som Greta Lovisa Gustafsson?,Greta Garbo,ja
26,När införde Sverige högertrafik?,1967,ja
27,Vad kallades den svenska rörelsen som uppstod på 1800-talet och fokuserade på nykterhet?,Nykterhetsrörelsen,ja
28,Vem var Sveriges sista kung av huset Holstein-Gottorp?,Karl XIII,ja
29,Vilka var Sveriges allierade under det stora nordiska kriget?,"Sachsen, Danmark, Ryssland",ja
30,När blev Stockholm Sveriges huvudstad?,1634,ja
31,Vem var Sveriges första kvinnliga ärkebiskop?,Antje Jackelén,ja
32,Vad är det svenska namnet på den berömda 'Bloodbath of Stockholm'?,Stockholms blodbad,ja
33,Vilket år slutade stormaktstiden i Sverige?,1721,ja
34,Vilken kung antog Sveriges nuvarande flagga?,Karl XVI Gustaf,ja
