id,Question,Answer,inkludera_i_pdf
1,Vem var Sveriges första kung?,Erik Segersäll,ja
2,Vilket år antogs den nuvarande svenska grundlagen?,1974,ja
3,Vad kallades unionen mellan Sverige och Norge?,Kalmarunionen,ja
4,Vem ledde Sverige under stormaktstiden?,Gustav II Adolf,ja
5,När inträffade slaget vid Lützen?,1632,ja
6,Vilket år skedde Skånelandskapens övergång till Sverige?,1658,ja
7,Vad hette Sveriges första kvinnliga regent?,Drottning Kristina,ja
8,När införde Sverige allmän rösträtt?,1921,ja
9,Vilket år avskaffades dödsstraffet i Sverige?,1921,ja
10,Vem var kung under slaget vid Poltava?,Karl XII,ja
11,Vad heter den svenska kungen som abdikerade 1809?,Gustav IV Adolf,ja
12,När började Gustav Vasa regera?,1523,ja
13,Vilken stad grundades av Gustav II Adolf 1619?,Göteborg,ja
14,Vad kallades konflikten mellan Sverige och Danmark på 1600-talet?,Karl X Gustavs krig,ja
15,Vem var Sveriges statsminister under andra världskriget?,Per Albin Hansson,ja
16,När skedde den svenska stormaktstidens slut?,1718,ja
17,Vilka år pågick det stora nordiska kriget?,1700-1721,ja
18,När blev Sverige medlem i EU?,1995,ja
19,Vad hette Sveriges första socialdemokratiske statsminister?,Hjalmar Branting,ja
20,När inträffade Stockholms blodbad?,1520,ja
21,Vad hette den svenska hemliga polisen under 1900-talet?,Säpo,ja
22,När var slaget vid Breitenfeld?,1631,ja
23,Vem är Sveriges nuvarande kung?,Carl XVI Gustaf,ja
24,När bildades Falu koppargruva?,1300-talet,ja
25,Vad kallas freden som avslutade det stora nordiska kriget?,Freden i Nystad,ja
26,När avskaffades ståndsriksdagen i Sverige?,1866,ja
27,Vem var Sveriges monark under unionsupplösningen med Norge?,Oscar II,ja
28,Vilken stad var Sveriges huvudstad innan Stockholm?,Uppsala,ja
29,Vilka två länder var Sverige i union med under Kalmarunionen?,Danmark och Norge,ja
30,Vad kallas den svenska 1800-talsrörelsen för rösträtt?,Rösträttsrörelsen,ja
31,När infördes kvinnlig rösträtt i Sverige?,1921,ja
32,Vad heter det slag 1567 där Sturarna mördades?,Sturemorden,ja
33,Vilket år tillträdde kung Carl XVI Gustaf tronen?,1973,ja
34,Vem skrev den svenska nationalsången?,Richard Dybeck,ja
