id,Question,Answer,inkludera_i_pdf
1,Vilken kung grundade Stockholm?,Birger Jarl,ja
2,Vilket år inträffade Stockholms blodbad?,1520,ja
3,Namnge den svenska drottning som abdikerade 1654.,Kristina,ja
4,Vad kallades Gustav II Adolf i folkmun?,Lejonet från Norden,ja
5,Hur många år varade Kalmarunionen?,126,ja
6,När blev Sverige en stormakt?,1600-talet,ja
7,Vem var Sveriges första kvinnliga statsminister?,Magdalena Andersson,ja
8,Vilket år skedde slaget vid Lützen?,1632,ja
9,Vilken kung är känd för att ha startat det stora nordiska kriget?,Karl XII,ja
10,Vad heter den äldsta bevarade svenska lagboken?,Västgötalagen,ja
11,Vilka år varade det stora nordiska kriget?,1700-1721,ja
12,Vem mördades i Stockholm 1986?,Olof Palme,ja
13,Varifrån kom vikingarna som bosatte sig i Normandie?,Skandinavien,ja
14,När infördes allmän och lika rösträtt i Sverige?,1921,ja
15,Vad kallades unionen mellan Sverige och Norge?,Personalunionen,ja
16,Vilken kung förlorade slaget vid Poltava?,Karl XII,ja
17,Vad hette Sveriges första riksdagsparti?,Socialdemokraterna,ja
18,Vad var Drottning Kristina känd för att ha gjort efter sin abdikation?,Konvertera till katolicismen,ja
19,Namnge den svenska upptäcktsresanden som reste till Kina på 1700-talet.,Sven Hedin,ja
20,Vilken svensk uppfinnare skapade dynamiten?,Alfred Nobel,ja
21,När brann stora delar av Uppsala ner?,1702,ja
22,Vad hette den svenska kungen som mördades på maskeradbal?,Gustav III,ja
23,När blev Sverige medlem i EU?,1995,ja
24,Vilket år inträffade slaget vid Brännkyrka?,1518,ja
25,Vem var Sveriges första kvinnliga ärkebiskop?,Antje Jackelén,ja
26,Vad hette Sveriges första tryckta tidning?,Ordinari Post Tijdender,ja
27,Vad kallades den period då Sverige var en del av Kalmarunionen?,Unionstiden,ja
28,Vilken svensk drottning var gift med kung Erik XIV?,Karin Månsdotter,ja
29,Vilket år inträffade Slaget vid Narva?,1700,ja
30,Vem grundade ABBA-museet i Stockholm?,Björn Ulvaeus,ja
31,Var föddes Gustav Vasa?,Lindholmen,ja
32,Vad hette den svenska författaren som skrev 'Nils Holgerssons underbara resa genom Sverige'?,Selma Lagerlöf,ja
33,När byggdes Vasa-skeppet?,1628,ja
34,Vilken svensk stad var huvudstad innan Stockholm?,Uppsala,ja
