id,Question,Answer,inkludera_i_pdf
1,Vem uppfann egentligen glödlampan?,Thomas Edison,ja
2,Vilken händelse markerar ofta början på Medeltiden?,Roms fall,ja
3,Vem var den första europeiska upptäcktsresanden att nå Amerika?,Leif Eriksson,ja
4,Vilket år inträffade slaget vid Hastings?,1066,ja
5,Vilken egyptisk drottning är känd för sitt förhållande med Julius Caesar och Markus Antonius?,Kleopatra,ja
6,Vilka var de första människorna att landa på månen?,Neil Armstrong och Buzz Aldrin,ja
7,Hur dog Napoleon Bonaparte?,Magsår,ja
8,Vad är den verkliga orsaken till att Titanic sjönk?,Isberg,ja
9,Vilken monark är känd för att ha haft sex hustrur?,Henrik VIII,ja
10,Vem skrev 'Tillbaka till framtiden'?,Robert Zemeckis och Bob Gale,ja
11,Vilket land attackerade Pearl Harbor?,Japan,ja
12,Vad är den vanligaste missuppfattningen om vikingarnas hjälmar?,Horns,ja
13,Vem upptäckte Amerika för Spanien 1492?,Christofer Columbus,ja
14,Vilka var de två stridande parterna i det Trojanska kriget?,Grekland och Troja,ja
15,Vilken byggnad brann ner under den stora branden i Rom?,Circus Maximus,ja
16,När föll Berlinmuren?,1989,ja
17,Vilket var det första djuret i rymden?,Laika,ja
18,Vem var den första kvinnliga premiärministern i Storbritannien?,Margaret Thatcher,ja
19,Varifrån kom Karl den Store?,Frankerriket,ja
20,Vilket år inträffade den amerikanska revolutionen?,1776,ja
21,Vilken farao byggde den stora pyramiden i Giza?,Khufu,ja
22,Vad var syftet med Magna Carta?,Begränsa kungens makt,ja
23,Vem var den första presidenten i USA?,George Washington,ja
24,"Vilken kung är känd för sitt 'Jag är staten' (L'État, c'est moi)?",Ludvig XIV,ja
25,Vilken stad var huvudstad i det Byzantinska riket?,Konstantinopel,ja
26,Hur lång var den 100-åriga kriget?,116 år,ja
27,Vilken var den första nationen att ge kvinnor rösträtt?,Nya Zeeland,ja
28,Vad var Leonardo da Vinci känd för?,Mona Lisa,ja
29,Vilket år inträffade den franska revolutionen?,1789,ja
30,Vilken kejsare delade Romarriket i två delar?,Diocletianus,ja
31,Vad kallades de krig som utkämpades mellan romarna och kartagerna?,Punerkrigen,ja
32,Vilken stad var känd för sitt bibliotek i antiken?,Alexandria,ja
33,Vilken var den sista tsaren av Ryssland?,Nikolaus II,ja
34,Vad var den huvudsakliga orsaken till den amerikanska inbördeskriget?,Slaveri,ja
