id,Question,Answer,inkludera_i_pdf
1,Vilket slott ligger i centrala Nyköping och är känt för Nyköpingsgästabud?,Nyköpingshus,ja
2,Vad heter floden som rinner genom Nyköping?,Nyköpingsån,ja
3,Vilken park i Nyköping är känd för sina vackra promenadstråk och fontäner?,Stadsparken,ja
4,Vilket museum i Nyköping visar stadens historia och kultur?,Sörmlands museum,ja
5,Vad heter Nyköpings största köpcentrum?,Pål Jungs Hage,ja
6,Vilken ö utanför Nyköpings kust är populär bland turister?,Stendörren,ja
7,Vilken historisk byggnad fungerade som ett fängelse i Nyköping?,Fängelset,ja
8,Vad heter den stora hamnen i Nyköping?,Nyköpings hamn,ja
9,Vilket århundrade grundades Nyköping?,1100-talet,ja
10,Vilket monument i Nyköping hedrar minnet av stadens soldater?,Krigsmonumentet,ja
11,Vilket känt naturreservat ligger i närheten av Nyköping?,Nävekvarns klint,ja
12,Vad heter den populära badstranden i Nyköping?,Läggesta,ja
13,Vilken bro i Nyköping leder över Nyköpingsån och är känd för sin fina utsikt?,Tessins bro,ja
14,Vilken kyrka i Nyköping är känd för sina medeltida målningar?,Alla Helgona kyrka,ja
15,Vilket torg i Nyköping är känt för sina marknader och evenemang?,Stora Torget,ja
16,Vilken byggnad i Nyköping används som kulturhus och teater?,Culturum,ja
17,Vilket naturområde i Nyköping är populärt för vandring och friluftsliv?,Sörmlandsleden,ja
18,Vad heter det stora sportcentret i Nyköping?,Rosvalla,ja
19,Vilken årlig festival i Nyköping firar stadens kultur och historia?,Nyköpings Festdagar,ja
20,Vilket hotell i Nyköping ligger nära Nyköpingshus och har anor från 1700-talet?,Sunlight Hotel,ja
21,Vilken gata i Nyköping är känd för sina butiker och restauranger?,Västra Storgatan,ja
22,Vad heter Nyköpings största sjö?,Runnviken,ja
23,Vilken skulptur i Nyköping föreställer en fiskare och är ett populärt landmärke?,Fiskargubben,ja
24,Vilken byggnad i Nyköping är känd för sitt vattentorn och utsikt över staden?,Vattentornet,ja
25,Vad heter den historiska stadsdelen i Nyköping med gamla trähus och kullerstensgator?,Gamla stan,ja
26,Vilken park i Nyköping är känd för sina vackra blomsterrabatter och lekplatser?,Hamnparken,ja
27,Vilket museum i Nyköping är dedikerat till industrihistoria och hantverk?,Nyköpings industrimuseum,ja
28,Vilken byggnad i Nyköping är känd för sin moderna arkitektur och används för konferenser?,Sunlight House,ja
29,Vilken å rinner genom Nyköpings centrum och mynnar ut i Östersjön?,Nyköpingsån,ja
30,Vad heter det stora naturreservatet söder om Nyköping som är populärt för fågelskådning?,Stendörren,ja
31,Vilken byggnad i Nyköping är känd för sina konstutställningar och kulturevenemang?,Galleri Sjöhästen,ja
32,Vilket torg i Nyköping är känd för sin julmarknad och andra säsongsbetonade evenemang?,Stora Torget,ja
33,Vilket slott i Nyköpings närhet är känt för sin medeltida historia och vackra trädgårdar?,Tistad slott,ja
34,Vilken kyrka i Nyköping är känd för sina historiska gravstenar och vackra interiör?,Sankt Nicolai kyrka,ja
