id,Question,Answer,inkludera_i_pdf
1,Vad betyder det danska ordet 'hygge'?,Mys,ja
2,Vad betyder 'knallert' på svenska?,Moped,ja
3,Vad är en 'rødgrød' på svenska?,Rödbetssoppa,ja
4,Vad syftar danskar på när de säger 'morgenmad'?,Frukost,ja
5,Vad betyder 'snegle' på svenska?,Sniglar,ja
6,Hur översätts 'gammeldags' till svenska?,Gammaldags,ja
7,Vad betyder 'smørrebrød' på svenska?,Smörgås,ja
8,Vad betyder 'frokost' på danska?,Lunch,ja
9,Hur översätts 'kartoffel' från danska?,Potatis,ja
10,Vad betyder det danska uttrycket 'god bedring'?,Krya på dig,ja
11,Hur översätts 'skole' till svenska?,Skola,ja
12,Vad betyder 'helt sikkert' på svenska?,Helt säkert,ja
13,Hur säger man 'kram' på danska?,Knus,ja
14,Vad betyder 'bager' på svenska?,Bagare,ja
15,Vad betyder 'fløde' på svenska?,Grädde,ja
16,Vad betyder 'smør' på svenska?,Smör,ja
17,Vad betyder 'komfur' på svenska?,Spis,ja
18,Hur översätts 'brød' från danska?,Bröd,ja
19,Vad betyder 'kartofler' på svenska?,Potatis,ja
20,Vad betyder 'bil' på svenska?,Bil,ja
21,Hur säger man 'fönster' på danska?,Vindue,ja
22,Vad betyder 'rødbeder' på svenska?,Rödbetor,ja
23,Hur översätts 'ost' från danska?,Ost,ja
24,Vad betyder 'kaffe' på svenska?,Kaffe,ja
25,Vad innebär det danska uttrycket 'god appetit'?,Smaklig måltid,ja
26,Vad betyder 'stjerne' på svenska?,Stjärna,ja
27,Vad betyder 'læge' på svenska?,Läkare,ja
28,Hur översätts 'kæledyr' från danska?,Husdjur,ja
29,Vad betyder 'køkken' på svenska?,Kök,ja
30,Vad innebär 'at glæde sig til noget' på svenska?,Se fram emot något,ja
31,Hur översätts 'ferie' från danska?,Semester,ja
32,Vad betyder 'svømme' på svenska?,Simma,ja
33,Vad innebär det danska uttrycket 'held og lykke'?,Lycka till,ja
34,Vad betyder 'sko' på svenska?,Skor,ja
