id,Question,Answer,inkludera_i_pdf
1,Vad kallas oftast den första zombien som började sprida smittan?,Patient Zero,ja
2,"Vilken bok från 2006, skriven av Max Brooks, blev mycket populär inom zombie-genren?",Världskrig Z,ja
3,"Vilken TV-serie, baserad på en serietidning, har blivit en långkörare inom zombie-temat?",The Walking Dead,ja
4,Vad heter filmen från 2004 där en grupp människor barrikaderar sig i ett köpcentrum under en zombieapokalyps?,Dawn of the Dead,ja
5,Vad är det huvudsakliga målet för en zombie i många berättelser?,Äta hjärnor,ja
6,Vilken skådespelare spelar huvudrollen i filmen 'I Am Legend'?,Will Smith,ja
7,Vad heter det populära spelet där spelaren överlever i en postapokalyptisk värld full med zombies?,The Last of Us,ja
8,I vilken film från 2002 sprider sig smittan som förvandlar människor till zombies via apor?,28 dagar senare,ja
9,Vilken kroppsdel anses ofta vara zombiens svaga punkt?,Hjärnan,ja
10,Vad heter filmen från 2013 där Brad Pitt spelar en forskare som försöker stoppa en zombieapokalyps?,World War Z,ja
11,Vilken typ av virus skapar zombies i 'Resident Evil'-filmerna?,T-virus,ja
12,Vad är namnet på skaparen av den klassiska zombie-filmen 'Night of the Living Dead'?,George A. Romero,ja
13,"I spelet 'Plants vs. Zombies', vad är spelarens huvuduppgift?",Skydda huset,ja
14,Vad heter staden i 'Resident Evil'-spel där zombiesmittan bryter ut?,Raccoon City,ja
15,I vilket årtionde blev zombies populära inom film och litteratur?,1960-talet,ja
16,"Vilket land har producerat många populära zombie-filmer, som till exempel 'Train to Busan'?",Sydkorea,ja
17,Vad kallas de zombies som kan springa istället för att långsamt stappla fram?,Snabba zombies,ja
18,Vilken zombie-film från 2009 kombinerar skräck och komedi och har Jesse Eisenberg i huvudrollen?,Zombieland,ja
19,Vad vill zombies i spelet 'Minecraft' göra när natten faller?,Attackerar spelare,ja
20,I vilken TV-serie från 2010 strider en grupp överlevande mot zombies ledda av karaktären Rick Grimes?,The Walking Dead,ja
21,Vad är den främsta metoden för att döda en zombie i de flesta berättelser?,Skjuta i huvudet,ja
22,Vilken brittisk film från 2004 är en komedi om en zombieapokalyps?,Shaun of the Dead,ja
23,Vad kallar sig fans av den japanska mangan och animen 'Highschool of the Dead'?,Otaku,ja
24,"Vilken TV-serie, som utspelar sig i samma universum som 'The Walking Dead', började sändas 2015?",Fear the Walking Dead,ja
25,I vilket datorspel från 2012 kan spelare slå sig ihop för att överleva en zombieapokalyps?,DayZ,ja
26,Vad är namnet på det virus som orsakar zombiesmittan i 'The Walking Dead' universum?,Okänt,ja
27,I vilken film letar Will Smiths karaktär efter ett botemedel mot en zombie-liknande sjukdom?,I Am Legend,ja
28,Vilken typ av sakramentell ritual innebär att zombiefierade människor återuppstår efter döden i haitisk folklore?,Vodou,ja
29,Vilken amerikansk stat är huvudscenen för TV-serien 'The Walking Dead'?,Georgia,ja
30,"I spelet 'Resident Evil', vad är Albert Weskers roll?",Skurk,ja
31,Vad kallas de zombies som har kvar viss intelligens och minne från sitt mänskliga liv?,Tänkarzombies,ja
32,Vilken genre tillhör oftast berättelser om zombies?,Skräck,ja
33,"I spel som 'Left 4 Dead', vad är spelarens huvudmål?",Överleva,ja
34,Vilken 2013 film är en anpassning av en bok där en pandemisk sjukdom förvandlar människor till zombies?,World War Z,ja
35,Vad heter det populära sällskapsspelet där spelarna samarbetar för att överleva en zombieapokalyps?,Zombicide,ja
